round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1752,2.1747,0.0997,0.042917,7899420
2,0.4413,2.0576,0.2628,0.054873,7899420
3,0.4829,1.922,0.3179,0.06204,7899420
4,0.3977,1.8713,0.2422,0.039008,7899420
5,0.4697,1.738,0.3252,0.057346,7899420
6,0.4115,1.7822,0.3071,0.058481,7899420
7,0.4943,1.619,0.3716,0.080473,7899420
8,0.4881,1.5767,0.3338,0.062249,7899420
9,0.4907,1.5412,0.3846,0.089127,7899420
10,0.5157,1.4947,0.4185,0.077517,7899420
11,0.4569,1.5296,0.3759,0.091621,7899420
12,0.5079,1.394,0.3911,0.083624,7899420
13,0.4939,1.4047,0.3875,0.08889,7899420
14,0.5155,1.3251,0.4184,0.076413,7899420
15,0.5055,1.4088,0.395,0.087776,7899420
16,0.5229,1.3141,0.48,0.062408,7899420
17,0.4935,1.4339,0.3871,0.085255,7899420
18,0.5521,1.2465,0.5014,0.0364,7899420
19,0.5061,1.3596,0.3993,0.091573,7899420
20,0.5411,1.2339,0.5057,0.038405,7899420
21,0.5219,1.3437,0.4095,0.095744,7899420
22,0.5337,1.2416,0.4718,0.032672,7899420
23,0.4929,1.3471,0.4129,0.089205,7899420
24,0.5483,1.1794,0.4799,0.04502,7899420
25,0.5073,1.3063,0.4288,0.05893,7899420
26,0.5507,1.2298,0.472,0.064263,7899420
27,0.4967,1.3195,0.3893,0.073705,7899420
28,0.5449,1.16,0.4905,0.050973,7899420
29,0.5373,1.1839,0.438,0.061621,7899420
30,0.5455,1.1404,0.4911,0.046209,7899420
31,0.5459,1.1354,0.5143,0.042317,7899420
32,0.5211,1.2447,0.4169,0.092628,7899420
33,0.5573,1.123,0.5237,0.035385,7899420
34,0.5433,1.1814,0.4546,0.079307,7899420
35,0.5333,1.1735,0.5097,0.023933,7899420
36,0.5227,1.219,0.4237,0.087999,7899420
37,0.5381,1.1442,0.523,0.031776,7899420
38,0.4973,1.257,0.4413,0.080408,7899420
39,0.5495,1.0946,0.5127,0.039121,7899420
40,0.5181,1.2897,0.4222,0.094564,7899420
41,0.5215,1.1437,0.4742,0.066546,7899420
42,0.5503,1.1498,0.4625,0.071647,7899420
43,0.5425,1.0733,0.5094,0.046444,7899420
44,0.5873,1.0829,0.4815,0.066837,7899420
45,0.5819,1.0438,0.5281,0.024822,7899420
46,0.5593,1.1227,0.5264,0.055982,7899420
47,0.5851,1.0624,0.5104,0.038075,7899420
48,0.5531,1.0561,0.5274,0.04309,7899420
49,0.5273,1.2225,0.4508,0.081683,7899420
50,0.5315,1.0853,0.5082,0.058746,7899420
51,0.5693,1.1042,0.5186,0.067426,7899420
52,0.5843,1.0751,0.5428,0.023316,7899420
53,0.5127,1.2341,0.4799,0.054328,7899420
54,0.5831,1.0352,0.5594,0.033309,7899420
55,0.5459,1.1595,0.5145,0.06497,7899420
56,0.6039,1.036,0.5752,0.018456,7899420
57,0.5567,1.1155,0.5199,0.055832,7899420
58,0.5857,1.0542,0.5684,0.024378,7899420
59,0.5063,1.2901,0.4539,0.085723,7899420
60,0.5489,1.0473,0.5263,0.049583,7899420
