round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.3631,2.0975,0.2794,0.000113,7899420
2,0.4433,1.878,0.3099,0.000268,7899420
3,0.4417,1.8016,0.3165,0.000335,7899420
4,0.3749,1.8469,0.3032,0.000292,7899420
5,0.4903,1.5868,0.3548,0.000203,7899420
6,0.3957,1.8425,0.3085,0.000176,7899420
7,0.5333,1.3675,0.4168,0.000173,7899420
8,0.4075,1.6595,0.3089,0.000142,7899420
9,0.4559,1.5342,0.3387,0.000273,7899420
10,0.4837,1.5053,0.3805,0.000109,7899420
11,0.4837,1.3959,0.3875,0.000177,7899420
12,0.5197,1.365,0.3572,0.000269,7899420
13,0.5955,1.2293,0.4497,0.000289,7899420
14,0.5409,1.2249,0.4152,0.000361,7899420
15,0.5701,1.1423,0.488,0.000375,7899420
16,0.6095,1.1198,0.4788,0.000139,7899420
17,0.6289,1.0589,0.5213,0.000342,7899420
18,0.5783,1.1164,0.4988,0.000226,7899420
19,0.5773,1.1112,0.4946,0.00027,7899420
20,0.6133,1.055,0.5123,0.00019,7899420
21,0.6109,1.0124,0.5331,0.000264,7899420
22,0.6281,1.0177,0.51,9.4e-05,7899420
23,0.6063,1.0753,0.4994,0.000167,7899420
24,0.6367,0.9979,0.5607,0.000315,7899420
25,0.5991,0.9764,0.5049,0.000249,7899420
26,0.6427,0.98,0.5596,0.000172,7899420
27,0.6539,0.9883,0.5541,0.000262,7899420
28,0.6123,0.9976,0.5546,0.000289,7899420
29,0.6347,0.9371,0.5537,0.000313,7899420
30,0.6283,1.0511,0.5046,0.000272,7899420
31,0.6569,0.932,0.5894,0.000348,7899420
32,0.6351,0.9399,0.5489,0.000328,7899420
33,0.6489,0.9248,0.5904,0.000301,7899420
34,0.6347,0.9685,0.5549,0.000261,7899420
35,0.6777,0.8813,0.5952,0.000353,7899420
36,0.6151,1.0115,0.5641,0.000239,7899420
37,0.6335,1.0379,0.5476,0.000273,7899420
38,0.6919,0.8708,0.5998,0.000271,7899420
39,0.6867,0.8967,0.6003,0.000267,7899420
40,0.6277,0.9268,0.5494,0.000292,7899420
41,0.6511,0.8845,0.5614,0.000297,7899420
42,0.6815,0.894,0.5994,0.00042,7899420
43,0.6743,0.8657,0.5859,0.000278,7899420
44,0.6853,0.8567,0.607,0.000303,7899420
45,0.6911,0.8725,0.6012,0.000203,7899420
46,0.6845,0.832,0.6193,0.000319,7899420
47,0.6715,0.8637,0.6152,0.000298,7899420
48,0.6869,0.8727,0.6221,0.000341,7899420
49,0.6987,0.8413,0.6281,0.000235,7899420
50,0.7015,0.8475,0.6219,0.000263,7899420
51,0.7041,0.8211,0.6264,0.0003,7899420
52,0.6845,0.8584,0.6274,0.000277,7899420
53,0.6883,0.8524,0.6281,0.000274,7899420
54,0.6993,0.8695,0.6302,0.000211,7899420
55,0.6635,0.9127,0.6221,0.000317,7899420
56,0.6977,0.8165,0.6181,0.000235,7899420
57,0.7073,0.8451,0.6288,0.000196,7899420
58,0.6717,0.9389,0.6173,0.000235,7899420
59,0.6861,0.8168,0.6257,0.000214,7899420
60,0.7037,0.807,0.6451,0.000283,7899420
