round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1306,2.1977,0.067,0.031783,7899420
2,0.168,2.2058,0.0732,0.056821,7899420
3,0.1716,2.1997,0.0669,0.06214,7899420
4,0.1676,2.18,0.0775,0.055233,7899420
5,0.1702,2.1738,0.0688,0.060969,7899420
6,0.1634,2.1628,0.0904,0.049121,7899420
7,0.1704,2.1541,0.0684,0.060693,7899420
8,0.1684,2.1454,0.1088,0.050081,7899420
9,0.1706,2.1385,0.0683,0.060884,7899420
10,0.1736,2.1326,0.1292,0.067227,7899420
11,0.1716,2.1218,0.0678,0.061574,7899420
12,0.176,2.1174,0.1489,0.090386,7899420
13,0.1718,2.1145,0.0667,0.062216,7899420
14,0.1978,2.1152,0.2172,0.130452,7899420
15,0.1718,2.1244,0.0667,0.062222,7899420
16,0.2503,2.1327,0.2456,0.162576,7899420
17,0.1718,2.1539,0.0667,0.062222,7899420
18,0.2615,2.1505,0.2435,0.159258,7899420
19,0.1718,2.1579,0.0667,0.062222,7899420
20,0.2617,2.1211,0.2455,0.157459,7899420
21,0.1778,2.1249,0.0667,0.062222,7899420
22,0.2639,2.0932,0.2425,0.155264,7899420
23,0.2184,2.1237,0.0729,0.061648,7899420
24,0.2645,2.0789,0.2519,0.146051,7899420
25,0.2607,2.1244,0.1144,0.070654,7899420
26,0.2651,2.0722,0.2396,0.148721,7899420
27,0.2703,2.1172,0.1519,0.098033,7899420
28,0.2651,2.0573,0.2391,0.147578,7899420
29,0.2775,2.1107,0.172,0.120356,7899420
30,0.2661,2.037,0.2353,0.143415,7899420
31,0.2805,2.1091,0.1772,0.126845,7899420
32,0.2743,2.0158,0.2525,0.135187,7899420
33,0.2809,2.0941,0.1797,0.130174,7899420
34,0.3285,1.9852,0.2669,0.123928,7899420
35,0.2809,2.1005,0.18,0.130494,7899420
36,0.3283,1.9618,0.2811,0.119297,7899420
37,0.2797,2.1316,0.1701,0.116907,7899420
38,0.3505,1.9451,0.2863,0.119114,7899420
39,0.2721,2.1483,0.1518,0.078665,7899420
40,0.3643,1.9268,0.3052,0.117928,7899420
41,0.1982,2.2097,0.1266,0.064403,7899420
42,0.3281,1.9811,0.2518,0.13292,7899420
43,0.1882,2.2251,0.136,0.07734,7899420
44,0.3587,1.9227,0.3493,0.177576,7899420
45,0.3103,1.9895,0.2175,0.099635,7899420
46,0.3237,1.875,0.2851,0.138771,7899420
47,0.2941,2.0643,0.2185,0.096818,7899420
48,0.3427,1.855,0.3102,0.146318,7899420
49,0.3493,1.9904,0.2457,0.123964,7899420
50,0.3409,1.8347,0.3004,0.140652,7899420
51,0.3653,1.9627,0.2523,0.132472,7899420
52,0.3611,1.8246,0.3044,0.138409,7899420
53,0.3725,1.9033,0.2546,0.141584,7899420
54,0.2863,1.9931,0.1805,0.071222,7899420
55,0.2272,2.054,0.1544,0.111854,7899420
56,0.1718,2.6391,0.0669,0.062196,7899420
57,0.18,2.1649,0.2588,0.128127,7899420
58,0.4253,1.8312,0.2626,0.134194,7899420
59,0.3689,1.8901,0.3274,0.151892,7899420
60,0.3461,1.828,0.1937,0.14996,7899420
