round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.4539,1.6977,0.3185,0.002653,7899420
2,0.5359,1.3241,0.3903,0.002011,7899420
3,0.5411,1.3359,0.371,0.002133,7899420
4,0.5795,1.1549,0.452,0.000831,7899420
5,0.6079,1.0912,0.5208,0.001044,7899420
6,0.6587,0.9368,0.5714,0.000794,7899420
7,0.6445,0.9191,0.567,0.00065,7899420
8,0.6257,0.9769,0.5421,0.000459,7899420
9,0.6585,0.9014,0.6021,0.001664,7899420
10,0.6585,0.9354,0.5827,0.002063,7899420
11,0.6581,0.9104,0.5883,0.001059,7899420
12,0.6813,0.8765,0.6017,0.001104,7899420
13,0.6949,0.8368,0.619,0.000342,7899420
14,0.6961,0.8321,0.6122,0.000309,7899420
15,0.6719,0.8517,0.6202,0.000733,7899420
16,0.6949,0.8592,0.6419,0.002122,7899420
17,0.6891,0.8492,0.648,0.001135,7899420
18,0.6979,0.8153,0.6293,0.001299,7899420
19,0.6351,0.978,0.583,0.003813,7899420
20,0.7281,0.746,0.6612,0.000464,7899420
21,0.6915,0.8647,0.6439,0.001108,7899420
22,0.7285,0.7807,0.6791,0.000491,7899420
23,0.7149,0.7935,0.6847,0.002482,7899420
24,0.6905,0.8654,0.6631,0.00522,7899420
25,0.6803,0.9306,0.6151,0.001449,7899420
26,0.7455,0.7312,0.692,0.002345,7899420
27,0.6917,0.8774,0.6694,0.005017,7899420
28,0.7101,0.8408,0.6783,0.002528,7899420
29,0.7193,0.7975,0.6893,0.002424,7899420
30,0.7069,0.8175,0.6464,0.002381,7899420
31,0.6633,0.928,0.6623,0.003723,7899420
32,0.7139,0.793,0.6916,0.003023,7899420
33,0.7019,0.836,0.6935,0.004009,7899420
34,0.7139,0.8004,0.6906,0.00272,7899420
35,0.6811,0.8585,0.6565,0.003846,7899420
36,0.7073,0.8581,0.6898,0.003695,7899420
37,0.6609,1.013,0.645,0.002866,7899420
38,0.6901,0.9017,0.6898,0.005918,7899420
39,0.6983,0.8818,0.6884,0.005982,7899420
40,0.6787,0.9839,0.6629,0.004599,7899420
41,0.7133,0.8639,0.7167,0.007307,7899420
42,0.7071,0.8749,0.6988,0.004828,7899420
43,0.6975,0.9113,0.6921,0.007793,7899420
44,0.6445,1.0751,0.6546,0.00713,7899420
45,0.7087,0.8847,0.7029,0.007575,7899420
46,0.6915,0.9935,0.6958,0.008155,7899420
47,0.7047,0.9403,0.7069,0.009181,7899420
48,0.6929,0.9953,0.7062,0.008211,7899420
49,0.6561,1.0986,0.6874,0.009919,7899420
50,0.7037,0.9038,0.7018,0.008494,7899420
51,0.6927,0.9956,0.7205,0.01094,7899420
52,0.6909,1.0259,0.7072,0.008722,7899420
53,0.6867,1.0292,0.7122,0.007967,7899420
54,0.6873,1.0812,0.6938,0.00993,7899420
55,0.6875,1.0737,0.7302,0.012347,7899420
56,0.7017,1.0168,0.7155,0.008768,7899420
57,0.7005,1.0511,0.7358,0.012038,7899420
58,0.6993,1.0296,0.716,0.010021,7899420
59,0.6967,1.0822,0.7182,0.010941,7899420
60,0.6901,1.0996,0.7199,0.011637,7899420
