round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1802,2.1098,0.1318,0.006751,7899420
2,0.3761,1.9969,0.2401,0.009642,7899420
3,0.3193,1.9277,0.2398,0.008734,7899420
4,0.3925,1.6985,0.3119,0.007133,7899420
5,0.5063,1.4851,0.3425,0.006746,7899420
6,0.5113,1.4303,0.3525,0.006515,7899420
7,0.4747,1.5156,0.3527,0.006249,7899420
8,0.5145,1.4013,0.3686,0.006328,7899420
9,0.5261,1.3604,0.377,0.006366,7899420
10,0.5707,1.2684,0.3804,0.005944,7899420
11,0.5587,1.2836,0.3798,0.005564,7899420
12,0.5117,1.3691,0.343,0.005443,7899420
13,0.5741,1.1714,0.4151,0.00597,7899420
14,0.6021,1.099,0.4443,0.00573,7899420
15,0.5769,1.1108,0.4348,0.008545,7899420
16,0.6019,1.0878,0.442,0.005023,7899420
17,0.5987,1.0789,0.4459,0.006113,7899420
18,0.5949,1.0488,0.4895,0.007048,7899420
19,0.5387,1.2392,0.4084,0.006938,7899420
20,0.6137,1.0366,0.5046,0.005598,7899420
21,0.6041,1.0771,0.4987,0.004032,7899420
22,0.6323,1.0396,0.5069,0.003054,7899420
23,0.6373,1.0348,0.5108,0.00331,7899420
24,0.6261,1.0178,0.4937,0.003977,7899420
25,0.6539,0.9814,0.54,0.00539,7899420
26,0.6421,0.9608,0.5388,0.00574,7899420
27,0.6327,0.9672,0.5378,0.006057,7899420
28,0.6553,0.9564,0.5512,0.005167,7899420
29,0.6497,0.9529,0.5485,0.004667,7899420
30,0.6511,0.9597,0.5513,0.005394,7899420
31,0.6517,0.9296,0.5567,0.008359,7899420
32,0.6411,0.9284,0.5495,0.010335,7899420
33,0.6625,0.924,0.5656,0.005988,7899420
34,0.6381,0.9173,0.5558,0.009564,7899420
35,0.6653,0.9066,0.5725,0.007689,7899420
36,0.6547,0.9146,0.5723,0.006966,7899420
37,0.6577,0.9091,0.5706,0.006173,7899420
38,0.6635,0.8915,0.5778,0.007065,7899420
39,0.6569,0.9034,0.575,0.005888,7899420
40,0.6511,0.985,0.5499,0.003438,7899420
41,0.6837,0.8857,0.5861,0.005542,7899420
42,0.6665,0.9142,0.5809,0.004984,7899420
43,0.6771,0.8696,0.5838,0.007523,7899420
44,0.6609,0.8782,0.5878,0.007771,7899420
45,0.6767,0.8846,0.5902,0.006815,7899420
46,0.6749,0.8783,0.5837,0.008139,7899420
47,0.6843,0.8632,0.6006,0.006782,7899420
48,0.6871,0.8664,0.5958,0.006376,7899420
49,0.6941,0.8576,0.6017,0.006574,7899420
50,0.6911,0.8459,0.6033,0.00705,7899420
51,0.6763,0.8519,0.5912,0.00874,7899420
52,0.6701,0.8936,0.6054,0.00695,7899420
53,0.6811,0.8726,0.6066,0.006506,7899420
54,0.6849,0.8571,0.6144,0.00652,7899420
55,0.6985,0.8317,0.6172,0.006782,7899420
56,0.6933,0.8334,0.6175,0.006731,7899420
57,0.6695,0.8585,0.5888,0.010043,7899420
58,0.6927,0.868,0.62,0.006329,7899420
59,0.6969,0.827,0.6244,0.006413,7899420
60,0.7073,0.8293,0.624,0.006578,7899420
