round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.3807,2.0961,0.2939,0.000156,7899420
2,0.4679,1.9303,0.317,0.000226,7899420
3,0.4723,1.8019,0.3222,0.000245,7899420
4,0.3683,1.923,0.3033,0.000239,7899420
5,0.4963,1.5481,0.348,0.000143,7899420
6,0.3573,1.8483,0.2785,0.000252,7899420
7,0.4969,1.5233,0.3691,0.00024,7899420
8,0.4089,1.7506,0.3107,0.000142,7899420
9,0.5455,1.4163,0.3862,0.000146,7899420
10,0.4227,1.668,0.3326,0.000204,7899420
11,0.5509,1.3061,0.3852,0.000259,7899420
12,0.5169,1.389,0.3726,0.000248,7899420
13,0.5563,1.2499,0.4212,0.000317,7899420
14,0.5299,1.2782,0.3881,0.00022,7899420
15,0.5747,1.1897,0.4784,0.00026,7899420
16,0.6019,1.1549,0.4397,0.000174,7899420
17,0.6035,1.1375,0.4748,0.000228,7899420
18,0.5595,1.2003,0.4336,0.000316,7899420
19,0.5865,1.1643,0.4802,0.000323,7899420
20,0.6161,1.0901,0.5087,0.000217,7899420
21,0.6225,1.0627,0.5174,0.000287,7899420
22,0.6219,1.0492,0.4771,0.000135,7899420
23,0.5983,1.1255,0.4643,0.000347,7899420
24,0.6199,1.0295,0.5089,0.00027,7899420
25,0.6173,0.9911,0.5275,0.000259,7899420
26,0.6367,1.0193,0.5456,0.000196,7899420
27,0.6265,1.049,0.5107,0.000156,7899420
28,0.6123,1.0173,0.5378,0.000253,7899420
29,0.6333,0.9794,0.5552,0.000265,7899420
30,0.6289,1.04,0.5063,0.000174,7899420
31,0.6265,0.9707,0.561,0.000228,7899420
32,0.6317,0.9599,0.5333,0.000261,7899420
33,0.6413,0.9458,0.5758,0.000272,7899420
34,0.6339,0.9633,0.5596,0.00026,7899420
35,0.6515,0.9594,0.5623,0.000281,7899420
36,0.6209,1.0192,0.5561,0.00021,7899420
37,0.6341,1.0555,0.5335,0.000215,7899420
38,0.6729,0.909,0.5839,0.000277,7899420
39,0.6753,0.9225,0.5826,0.000282,7899420
40,0.6431,0.9147,0.5661,0.000302,7899420
41,0.6597,0.8881,0.5727,0.000309,7899420
42,0.6647,0.9402,0.5786,0.000356,7899420
43,0.6527,0.9406,0.5741,0.000312,7899420
44,0.6611,0.9017,0.5893,0.000343,7899420
45,0.6625,0.8781,0.5756,0.000254,7899420
46,0.6745,0.8591,0.6074,0.000376,7899420
47,0.6503,0.9437,0.5799,0.000274,7899420
48,0.6769,0.8957,0.6068,0.000301,7899420
49,0.6807,0.881,0.6129,0.000375,7899420
50,0.6403,0.8973,0.5642,0.000286,7899420
51,0.6789,0.858,0.615,0.000399,7899420
52,0.6559,0.8818,0.601,0.000306,7899420
53,0.6723,0.8814,0.6079,0.000306,7899420
54,0.6783,0.9021,0.6031,0.000235,7899420
55,0.6621,0.9006,0.609,0.000346,7899420
56,0.6953,0.8232,0.621,0.000323,7899420
57,0.7121,0.8363,0.6227,0.000191,7899420
58,0.6583,0.9813,0.5921,0.000335,7899420
59,0.6865,0.8413,0.624,0.000306,7899420
60,0.6871,0.8351,0.625,0.000295,7899420
