round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1326,2.1977,0.0668,0.030721,7899420
2,0.1716,2.2611,0.0667,0.062222,7899420
3,0.0896,2.2086,0.1342,0.114661,7899420
4,0.1716,2.2158,0.0667,0.062216,7899420
5,0.1544,2.1873,0.1343,0.075881,7899420
6,0.1664,2.2067,0.0809,0.051093,7899420
7,0.1674,2.1773,0.082,0.052046,7899420
8,0.1704,2.205,0.068,0.059914,7899420
9,0.1708,2.176,0.1014,0.047152,7899420
10,0.1712,2.197,0.0671,0.061885,7899420
11,0.1718,2.1687,0.1014,0.046888,7899420
12,0.1716,2.1885,0.0667,0.062072,7899420
13,0.1706,2.1631,0.0814,0.050955,7899420
14,0.171,2.1805,0.0682,0.061117,7899420
15,0.1706,2.1523,0.0808,0.052828,7899420
16,0.1706,2.1742,0.0737,0.05762,7899420
17,0.1716,2.1465,0.0792,0.056048,7899420
18,0.1762,2.1599,0.0951,0.051988,7899420
19,0.174,2.1455,0.0738,0.06017,7899420
20,0.176,2.1525,0.1026,0.051297,7899420
21,0.1958,2.1437,0.1091,0.064667,7899420
22,0.177,2.1458,0.1054,0.052617,7899420
23,0.2314,2.1435,0.1614,0.068332,7899420
24,0.177,2.1406,0.1019,0.05146,7899420
25,0.2326,2.137,0.1735,0.061578,7899420
26,0.18,2.132,0.1099,0.05509,7899420
27,0.2511,2.1299,0.192,0.060173,7899420
28,0.1938,2.1227,0.119,0.054254,7899420
29,0.2831,2.1294,0.2185,0.067052,7899420
30,0.1936,2.1198,0.1037,0.055961,7899420
31,0.3009,2.1262,0.2455,0.087613,7899420
32,0.1994,2.1133,0.0992,0.059456,7899420
33,0.2619,2.1284,0.238,0.085874,7899420
34,0.2086,2.1062,0.0949,0.062264,7899420
35,0.2521,2.1248,0.2245,0.074926,7899420
36,0.242,2.1002,0.1219,0.072648,7899420
37,0.2583,2.1218,0.2251,0.076905,7899420
38,0.2711,2.0954,0.1665,0.102988,7899420
39,0.2795,2.1151,0.2389,0.088752,7899420
40,0.2909,2.0892,0.1817,0.110407,7899420
41,0.1908,2.1183,0.1802,0.082464,7899420
42,0.3019,2.0852,0.1954,0.132564,7899420
43,0.1848,2.1196,0.1566,0.07727,7899420
44,0.3373,2.0771,0.2074,0.120079,7899420
45,0.197,2.1148,0.1594,0.080835,7899420
46,0.3457,2.0682,0.2049,0.113515,7899420
47,0.1802,2.1175,0.1483,0.089254,7899420
48,0.3377,2.0621,0.2066,0.123309,7899420
49,0.1864,2.1267,0.1284,0.066484,7899420
50,0.3919,2.0477,0.2344,0.109821,7899420
51,0.1926,2.1281,0.1315,0.069794,7899420
52,0.4235,2.0419,0.2618,0.138188,7899420
53,0.1856,2.1168,0.1213,0.056848,7899420
54,0.4093,2.0399,0.2516,0.126911,7899420
55,0.1998,2.1118,0.1454,0.06642,7899420
56,0.4365,2.0336,0.2717,0.150202,7899420
57,0.2296,2.0983,0.1857,0.073121,7899420
58,0.4391,2.0229,0.2725,0.151586,7899420
59,0.2248,2.0902,0.1948,0.089926,7899420
60,0.4421,2.0146,0.2747,0.154431,7899420
