round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.5271,1.5813,0.3894,0.002976,7899420
2,0.5149,1.2876,0.4257,0.002124,7899420
3,0.5317,1.3484,0.364,0.002721,7899420
4,0.5451,1.2014,0.4219,0.000711,7899420
5,0.5583,1.2189,0.4315,0.001266,7899420
6,0.6471,0.9667,0.5526,0.001188,7899420
7,0.6527,0.9805,0.5615,0.000907,7899420
8,0.6651,0.8979,0.588,0.000887,7899420
9,0.6557,0.9275,0.5797,0.001319,7899420
10,0.6647,0.8731,0.6031,0.000719,7899420
11,0.6667,0.9146,0.5949,0.001551,7899420
12,0.6531,0.9464,0.5779,0.000953,7899420
13,0.6809,0.8467,0.6132,0.000724,7899420
14,0.6981,0.8159,0.6213,0.00023,7899420
15,0.6641,0.8549,0.6134,0.000271,7899420
16,0.6575,0.9422,0.5948,0.0034,7899420
17,0.6787,0.8563,0.635,0.000666,7899420
18,0.6839,0.8453,0.6268,0.001985,7899420
19,0.5045,1.3516,0.4682,0.004508,7899420
20,0.7195,0.7529,0.661,0.000392,7899420
21,0.6829,0.8614,0.6349,0.000892,7899420
22,0.7279,0.7537,0.6689,0.000651,7899420
23,0.7253,0.7791,0.6704,0.000741,7899420
24,0.6571,0.9541,0.6322,0.002859,7899420
25,0.7223,0.7859,0.6807,0.001411,7899420
26,0.7339,0.7687,0.6887,0.000517,7899420
27,0.6599,0.9363,0.6379,0.002872,7899420
28,0.7175,0.8342,0.6569,0.000855,7899420
29,0.7287,0.7737,0.6786,0.001508,7899420
30,0.7199,0.7619,0.6611,0.001267,7899420
31,0.6963,0.8577,0.6797,0.002407,7899420
32,0.7087,0.8087,0.6748,0.0016,7899420
33,0.7041,0.8331,0.6927,0.002706,7899420
34,0.7135,0.7897,0.6923,0.002046,7899420
35,0.6571,0.9173,0.6427,0.002031,7899420
36,0.7005,0.8979,0.6478,0.00182,7899420
37,0.6881,0.8522,0.6823,0.002983,7899420
38,0.6525,0.9745,0.6703,0.005677,7899420
39,0.7087,0.828,0.7075,0.004143,7899420
40,0.6925,0.9403,0.6513,0.002485,7899420
41,0.6933,0.8728,0.711,0.003764,7899420
42,0.7151,0.8024,0.7078,0.004172,7899420
43,0.6829,0.8873,0.6817,0.00389,7899420
44,0.6237,1.1061,0.6456,0.003649,7899420
45,0.7123,0.8066,0.7058,0.006547,7899420
46,0.6853,1.0338,0.6626,0.003771,7899420
47,0.7229,0.8489,0.7024,0.006569,7899420
48,0.6717,0.9816,0.695,0.006621,7899420
49,0.6741,0.9986,0.6774,0.006191,7899420
50,0.7239,0.8019,0.7052,0.006147,7899420
51,0.7017,0.9009,0.7019,0.006995,7899420
52,0.6283,1.1164,0.6713,0.005008,7899420
53,0.7053,0.9311,0.7081,0.006824,7899420
54,0.6995,0.9398,0.7222,0.007824,7899420
55,0.6919,0.9749,0.7084,0.008797,7899420
56,0.7073,0.9621,0.7156,0.007054,7899420
57,0.7055,0.9464,0.7188,0.008343,7899420
58,0.7093,0.9631,0.7141,0.00759,7899420
59,0.7095,0.956,0.7045,0.007334,7899420
60,0.7085,0.9052,0.7089,0.006043,7899420
