round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1802,2.1098,0.1318,0.006751,7899420
2,0.4269,1.8617,0.2933,0.009525,7899420
3,0.4681,1.8094,0.3355,0.006088,7899420
4,0.3911,1.6972,0.2892,0.006369,7899420
5,0.4935,1.5339,0.352,0.006512,7899420
6,0.5137,1.455,0.3664,0.005801,7899420
7,0.5211,1.4404,0.369,0.007314,7899420
8,0.5573,1.4484,0.3936,0.005489,7899420
9,0.5367,1.3725,0.3837,0.005905,7899420
10,0.5893,1.2548,0.4001,0.005276,7899420
11,0.5687,1.1815,0.4153,0.009305,7899420
12,0.6105,1.176,0.4551,0.00326,7899420
13,0.5219,1.3674,0.3675,0.005564,7899420
14,0.6009,1.1447,0.4504,0.00476,7899420
15,0.5915,1.134,0.442,0.006026,7899420
16,0.6161,1.0757,0.4513,0.004588,7899420
17,0.6033,1.0679,0.4731,0.006728,7899420
18,0.5397,1.1196,0.417,0.014532,7899420
19,0.6189,1.0899,0.4472,0.00453,7899420
20,0.6011,1.0533,0.5094,0.010577,7899420
21,0.6245,1.063,0.4795,0.004479,7899420
22,0.6287,1.0099,0.505,0.003111,7899420
23,0.6393,0.9965,0.5072,0.003591,7899420
24,0.6325,0.9943,0.4946,0.003233,7899420
25,0.6537,0.9706,0.5406,0.004466,7899420
26,0.6373,0.9897,0.5217,0.002504,7899420
27,0.6287,0.9823,0.549,0.006179,7899420
28,0.6519,0.9886,0.5519,0.003638,7899420
29,0.6467,0.9637,0.5481,0.00263,7899420
30,0.6467,0.9927,0.5401,0.003866,7899420
31,0.6475,0.9507,0.5564,0.007258,7899420
32,0.6511,0.9249,0.5518,0.007577,7899420
33,0.6485,0.9667,0.5332,0.003177,7899420
34,0.6363,0.9338,0.5573,0.007682,7899420
35,0.6537,0.9341,0.5613,0.003912,7899420
36,0.6569,0.922,0.5674,0.003716,7899420
37,0.6587,0.9125,0.564,0.003142,7899420
38,0.6711,0.8961,0.5751,0.005884,7899420
39,0.6617,0.9032,0.5731,0.003967,7899420
40,0.6647,0.9417,0.5621,0.002859,7899420
41,0.6501,0.9235,0.5732,0.005404,7899420
42,0.6651,0.937,0.575,0.003965,7899420
43,0.6699,0.8875,0.5794,0.005486,7899420
44,0.6591,0.9063,0.5834,0.004582,7899420
45,0.6733,0.8757,0.5809,0.006084,7899420
46,0.6301,0.9005,0.531,0.010233,7899420
47,0.6909,0.883,0.5991,0.003966,7899420
48,0.6799,0.8925,0.5823,0.0064,7899420
49,0.6105,0.9077,0.53,0.010347,7899420
50,0.6769,0.9007,0.583,0.003584,7899420
51,0.6521,0.8823,0.5595,0.008697,7899420
52,0.6839,0.8795,0.6059,0.004906,7899420
53,0.6893,0.8741,0.598,0.002921,7899420
54,0.6907,0.8791,0.6029,0.003207,7899420
55,0.7003,0.8653,0.6053,0.004746,7899420
56,0.6861,0.8311,0.5937,0.006476,7899420
57,0.6851,0.8402,0.5919,0.007283,7899420
58,0.7015,0.867,0.6121,0.004119,7899420
59,0.6921,0.8625,0.6164,0.00406,7899420
60,0.6961,0.8493,0.6097,0.004602,7899420
