round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.1326,2.1977,0.0668,0.030721,7899420
2,0.0828,2.1966,0.1388,0.085821,7899420
3,0.1164,2.1724,0.1751,0.060788,7899420
4,0.081,2.1708,0.1659,0.035436,7899420
5,0.2058,2.1559,0.2349,0.03819,7899420
6,0.2875,2.1504,0.3084,0.045967,7899420
7,0.3137,2.1364,0.3114,0.065861,7899420
8,0.3371,2.1197,0.2898,0.099603,7899420
9,0.3253,2.1103,0.2746,0.104772,7899420
10,0.3467,2.1081,0.2994,0.116825,7899420
11,0.3085,2.0457,0.2687,0.111577,7899420
12,0.2256,2.1275,0.1959,0.108631,7899420
13,0.1706,2.2614,0.1833,0.098001,7899420
14,0.2154,2.8166,0.1841,0.118159,7899420
15,0.0884,2.5126,0.1337,0.115456,7899420
16,0.3127,2.39,0.2748,0.123615,7899420
17,0.0824,2.4035,0.1333,0.115556,7899420
18,0.2653,2.725,0.2766,0.129345,7899420
19,0.0884,2.2298,0.1333,0.115556,7899420
20,0.2681,2.1399,0.2424,0.121212,7899420
21,0.1736,2.1958,0.2117,0.062965,7899420
22,0.2901,2.2146,0.2883,0.12088,7899420
23,0.1702,2.791,0.2072,0.131301,7899420
24,0.1206,2.3447,0.213,0.111196,7899420
25,0.1724,2.7447,0.162,0.075852,7899420
26,0.0824,2.7314,0.1333,0.115556,7899420
27,0.142,2.3735,0.1903,0.119811,7899420
28,0.2719,2.2254,0.2638,0.139334,7899420
29,0.0472,2.4617,0.1335,0.115519,7899420
30,0.2296,2.5388,0.2403,0.160146,7899420
31,0.119,2.6364,0.1351,0.1119,7899420
32,0.0472,2.4822,0.1333,0.115455,7899420
33,0.3697,2.0612,0.2873,0.151039,7899420
34,0.2569,2.3751,0.1949,0.101353,7899420
35,0.0824,3.0604,0.1333,0.115556,7899420
36,0.1844,2.6065,0.252,0.104548,7899420
37,0.2831,2.0479,0.2238,0.108136,7899420
38,0.2667,2.521,0.2373,0.156728,7899420
39,0.118,3.3469,0.1327,0.114078,7899420
40,0.1442,3.1337,0.1335,0.115516,7899420
41,0.2324,2.4908,0.257,0.177023,7899420
42,0.2529,2.1697,0.22,0.100364,7899420
43,0.2298,2.2034,0.2565,0.179482,7899420
44,0.2851,2.18,0.2218,0.129644,7899420
45,0.0472,2.8759,0.1333,0.114638,7899420
46,0.3439,2.2693,0.3229,0.169558,7899420
47,0.0552,2.4482,0.1401,0.111272,7899420
48,0.3789,2.8578,0.3418,0.172412,7899420
49,0.0674,2.5445,0.1532,0.108632,7899420
50,0.1946,2.4362,0.1947,0.095795,7899420
51,0.2843,2.733,0.2151,0.119637,7899420
52,0.0472,2.8449,0.1333,0.115442,7899420
53,0.2494,2.4427,0.2473,0.169528,7899420
54,0.182,2.1691,0.2222,0.14061,7899420
55,0.2382,2.5236,0.2804,0.144067,7899420
56,0.0536,2.9672,0.1481,0.078869,7899420
57,0.244,2.2808,0.2479,0.100508,7899420
58,0.2318,2.9069,0.2487,0.170877,7899420
59,0.1832,2.7923,0.2013,0.115718,7899420
60,0.0824,2.4893,0.1335,0.115506,7899420
