round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up
1,0.5271,1.5813,0.3894,0.002976,7899420
2,0.5453,1.38,0.4023,0.001662,7899420
3,0.5285,1.386,0.3714,0.002903,7899420
4,0.5349,1.3456,0.3687,0.002419,7899420
5,0.5273,1.3205,0.3774,0.001524,7899420
6,0.5599,1.1817,0.4451,0.001945,7899420
7,0.5427,1.2713,0.4291,0.001853,7899420
8,0.5839,1.1647,0.4457,0.003324,7899420
9,0.5735,1.2006,0.4843,0.001267,7899420
10,0.5823,1.1286,0.5057,0.001254,7899420
11,0.5645,1.178,0.5069,0.001109,7899420
12,0.6015,1.1021,0.4942,0.001127,7899420
13,0.6277,1.1109,0.5311,0.001392,7899420
14,0.5615,1.0973,0.4968,0.00127,7899420
15,0.5779,1.1199,0.5191,0.003473,7899420
16,0.6083,1.1388,0.5493,0.003421,7899420
17,0.5981,1.0533,0.5377,0.000346,7899420
18,0.6109,1.0375,0.5151,0.002225,7899420
19,0.6039,1.1093,0.5519,0.00526,7899420
20,0.5155,1.1444,0.4753,0.002086,7899420
21,0.6169,1.1595,0.5488,0.003129,7899420
22,0.6043,1.0898,0.5809,0.004185,7899420
23,0.5969,1.0614,0.5642,0.000718,7899420
24,0.5817,1.1456,0.5698,0.015351,7899420
25,0.6115,1.0019,0.5945,0.002508,7899420
26,0.6343,1.0126,0.5933,0.004126,7899420
27,0.6165,1.1088,0.5927,0.013093,7899420
28,0.5383,1.0773,0.4816,0.002262,7899420
29,0.6095,0.9917,0.5709,0.002172,7899420
30,0.5441,1.0327,0.4897,0.002059,7899420
31,0.6175,0.9869,0.6074,0.004179,7899420
32,0.6525,0.9898,0.6368,0.007933,7899420
33,0.6465,0.9794,0.6339,0.006284,7899420
34,0.6223,1.0803,0.6057,0.007696,7899420
35,0.6369,1.0354,0.6225,0.013516,7899420
36,0.6145,1.0052,0.6223,0.005158,7899420
37,0.6209,1.0084,0.602,0.012702,7899420
38,0.6161,1.0992,0.6097,0.018021,7899420
39,0.6603,0.9693,0.653,0.004902,7899420
40,0.6327,0.9767,0.6055,0.004186,7899420
41,0.6035,1.0949,0.608,0.012641,7899420
42,0.6395,0.9897,0.6209,0.013757,7899420
43,0.6409,1.0065,0.6328,0.011132,7899420
44,0.6233,1.0338,0.6341,0.010689,7899420
45,0.6223,0.9666,0.6058,0.012708,7899420
46,0.6095,1.0389,0.6546,0.01198,7899420
47,0.6619,0.9467,0.6872,0.011998,7899420
48,0.6107,1.0637,0.6574,0.015621,7899420
49,0.5723,1.0718,0.6435,0.014993,7899420
50,0.6075,0.9914,0.5993,0.01379,7899420
51,0.6335,0.991,0.6577,0.013443,7899420
52,0.6349,1.022,0.6745,0.017187,7899420
53,0.6633,0.9092,0.6853,0.011799,7899420
54,0.5821,1.145,0.5898,0.020183,7899420
55,0.6467,0.9398,0.6754,0.012909,7899420
56,0.5901,1.0031,0.6147,0.013885,7899420
57,0.6443,1.0176,0.646,0.020551,7899420
58,0.6463,0.9945,0.6747,0.01625,7899420
59,0.5781,1.1488,0.5799,0.022505,7899420
60,0.6713,0.9627,0.6938,0.017976,7899420
