round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.0948,2.3307,0.071,0.014249,11347800,11347800,0
2,0.104,2.3333,0.0745,0.022744,11347800,11347800,0
3,0.1054,2.3248,0.0772,0.02216,11347800,11347800,0
4,0.1076,2.314,0.0783,0.021489,11347800,11347800,0
5,0.1096,2.3082,0.0817,0.02081,11347800,11347800,0
6,0.1182,2.3005,0.0837,0.019125,11347800,11347800,0
7,0.1142,2.2963,0.0856,0.020897,11347800,11347800,0
8,0.1198,2.2886,0.0897,0.019248,11347800,11347800,0
9,0.1178,2.2865,0.094,0.019975,11347800,11347800,0
10,0.1202,2.2825,0.1024,0.020676,11347800,11347800,0
11,0.1306,2.2741,0.105,0.01849,11347800,11347800,0
12,0.1416,2.2684,0.1205,0.017562,11347800,11347800,0
13,0.1398,2.2678,0.1145,0.018343,11347800,11347800,0
14,0.1474,2.2537,0.1205,0.01576,11347800,11347800,0
15,0.1392,2.255,0.1203,0.018146,11347800,11347800,0
16,0.1572,2.2425,0.1331,0.014403,11347800,11347800,0
17,0.1686,2.2358,0.147,0.01287,11347800,11347800,0
18,0.18,2.2341,0.1515,0.013858,11347800,11347800,0
19,0.1878,2.2232,0.1645,0.009073,11347800,11347800,0
20,0.1818,2.2205,0.1566,0.012231,11347800,11347800,0
21,0.1884,2.2182,0.1698,0.010675,11347800,11347800,0
22,0.203,2.2065,0.1815,0.008265,11347800,11347800,0
23,0.2006,2.2052,0.1787,0.009415,11347800,11347800,0
24,0.1992,2.1937,0.1835,0.008216,11347800,11347800,0
25,0.2054,2.1884,0.1819,0.009915,11347800,11347800,0
26,0.2206,2.1756,0.2009,0.007085,11347800,11347800,0
27,0.2138,2.1808,0.1987,0.009401,11347800,11347800,0
28,0.2186,2.1796,0.2039,0.00906,11347800,11347800,0
29,0.2168,2.1718,0.2032,0.008815,11347800,11347800,0
30,0.225,2.1609,0.2054,0.007136,11347800,11347800,0
31,0.2234,2.1637,0.2028,0.008567,11347800,11347800,0
32,0.222,2.1607,0.2076,0.008168,11347800,11347800,0
33,0.224,2.1594,0.2098,0.008562,11347800,11347800,0
34,0.2282,2.1609,0.2067,0.008502,11347800,11347800,0
35,0.2322,2.1434,0.217,0.008047,11347800,11347800,0
36,0.2268,2.1473,0.2144,0.008716,11347800,11347800,0
37,0.219,2.1566,0.1993,0.010404,11347800,11347800,0
38,0.2296,2.1395,0.2083,0.007612,11347800,11347800,0
39,0.232,2.142,0.2128,0.007817,11347800,11347800,0
40,0.2296,2.14,0.2166,0.008192,11347800,11347800,0
41,0.2398,2.1146,0.2271,0.00731,11347800,11347800,0
42,0.2356,2.1269,0.2165,0.007422,11347800,11347800,0
43,0.2338,2.1305,0.2168,0.009029,11347800,11347800,0
44,0.2376,2.1241,0.2245,0.006873,11347800,11347800,0
45,0.2374,2.1227,0.2228,0.006564,11347800,11347800,0
46,0.2324,2.1279,0.2218,0.006837,11347800,11347800,0
47,0.2402,2.1225,0.2302,0.008345,11347800,11347800,0
48,0.2412,2.1211,0.2273,0.007616,11347800,11347800,0
49,0.2408,2.1102,0.233,0.008156,11347800,11347800,0
50,0.2428,2.1143,0.2223,0.007445,11347800,11347800,0
51,0.2446,2.1099,0.2375,0.008944,11347800,11347800,0
52,0.2452,2.1002,0.2376,0.006688,11347800,11347800,0
53,0.2476,2.1006,0.23,0.006338,11347800,11347800,0
54,0.245,2.1087,0.2238,0.006411,11347800,11347800,0
55,0.241,2.1105,0.2217,0.007207,11347800,11347800,0
56,0.2538,2.1014,0.2221,0.006129,11347800,11347800,0
57,0.254,2.0903,0.2309,0.005454,11347800,11347800,0
58,0.2524,2.0992,0.2314,0.006718,11347800,11347800,0
59,0.2434,2.1221,0.2239,0.007993,11347800,11347800,0
60,0.2588,2.0925,0.2391,0.006319,11347800,11347800,0
