round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.0948,2.3068,0.094,4.2e-05,11347800,11347800,0
2,0.0976,2.2983,0.1011,0.000114,11347800,11347800,0
3,0.1026,2.2922,0.1042,0.000125,11347800,11347800,0
4,0.1072,2.2869,0.1085,7.7e-05,11347800,11347800,0
5,0.114,2.2834,0.1149,8.7e-05,11347800,11347800,0
6,0.1216,2.2796,0.1254,7.6e-05,11347800,11347800,0
7,0.127,2.2749,0.1315,8.7e-05,11347800,11347800,0
8,0.1448,2.2697,0.1464,0.000109,11347800,11347800,0
9,0.1446,2.2649,0.1448,8.1e-05,11347800,11347800,0
10,0.1644,2.2599,0.1624,8.7e-05,11347800,11347800,0
11,0.17,2.2559,0.1685,7.7e-05,11347800,11347800,0
12,0.175,2.2501,0.1758,8.8e-05,11347800,11347800,0
13,0.1754,2.2449,0.1726,8.8e-05,11347800,11347800,0
14,0.1868,2.2402,0.1813,8.2e-05,11347800,11347800,0
15,0.1852,2.2341,0.1831,8.2e-05,11347800,11347800,0
16,0.1884,2.2305,0.1852,7.3e-05,11347800,11347800,0
17,0.1996,2.2248,0.192,9.6e-05,11347800,11347800,0
18,0.2064,2.2186,0.1978,7.9e-05,11347800,11347800,0
19,0.2048,2.2135,0.1979,7.5e-05,11347800,11347800,0
20,0.2106,2.2069,0.203,8.6e-05,11347800,11347800,0
21,0.213,2.2013,0.2035,6.6e-05,11347800,11347800,0
22,0.2186,2.1952,0.2085,0.00012,11347800,11347800,0
23,0.2248,2.189,0.2156,9e-05,11347800,11347800,0
24,0.2312,2.1837,0.2168,0.000106,11347800,11347800,0
25,0.2286,2.179,0.2181,0.000104,11347800,11347800,0
26,0.2344,2.1732,0.2224,0.000143,11347800,11347800,0
27,0.2358,2.1675,0.2263,0.000208,11347800,11347800,0
28,0.2372,2.1624,0.2279,0.000184,11347800,11347800,0
29,0.2388,2.1575,0.2309,0.000166,11347800,11347800,0
30,0.2422,2.1528,0.2332,0.000157,11347800,11347800,0
31,0.2426,2.1484,0.2331,0.000149,11347800,11347800,0
32,0.2456,2.1445,0.2337,0.000115,11347800,11347800,0
33,0.2454,2.1399,0.2364,0.000158,11347800,11347800,0
34,0.25,2.1358,0.2369,0.000138,11347800,11347800,0
35,0.2536,2.1327,0.2372,0.000187,11347800,11347800,0
36,0.255,2.1286,0.2412,0.000217,11347800,11347800,0
37,0.2534,2.1256,0.2411,0.000167,11347800,11347800,0
38,0.2542,2.1213,0.2417,0.000167,11347800,11347800,0
39,0.254,2.1172,0.2446,0.000138,11347800,11347800,0
40,0.2534,2.1133,0.2437,0.000132,11347800,11347800,0
41,0.256,2.1098,0.2468,0.000156,11347800,11347800,0
42,0.2536,2.1077,0.2465,0.000137,11347800,11347800,0
43,0.2538,2.1041,0.2488,0.000141,11347800,11347800,0
44,0.2542,2.1006,0.2494,0.000148,11347800,11347800,0
45,0.2564,2.0982,0.2513,0.000208,11347800,11347800,0
46,0.255,2.0951,0.2493,0.000149,11347800,11347800,0
47,0.255,2.0924,0.2512,0.000195,11347800,11347800,0
48,0.259,2.0891,0.2532,0.000144,11347800,11347800,0
49,0.2592,2.0863,0.2536,0.000187,11347800,11347800,0
50,0.261,2.0834,0.2571,0.000185,11347800,11347800,0
51,0.26,2.0805,0.2571,0.000206,11347800,11347800,0
52,0.26,2.078,0.2572,0.000169,11347800,11347800,0
53,0.2584,2.0755,0.2569,0.000203,11347800,11347800,0
54,0.2602,2.0729,0.2581,0.000183,11347800,11347800,0
55,0.2604,2.0709,0.2575,0.000155,11347800,11347800,0
56,0.2632,2.0686,0.2601,0.000162,11347800,11347800,0
57,0.2614,2.0663,0.2611,0.000209,11347800,11347800,0
58,0.2624,2.0649,0.2612,0.000196,11347800,11347800,0
59,0.2652,2.0619,0.2618,0.000202,11347800,11347800,0
60,0.2636,2.0599,0.2633,0.000189,11347800,11347800,0
