round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.105,2.3089,0.1038,0.002483,11347800,11347800,0
2,0.107,2.3056,0.1032,0.002711,11347800,11347800,0
3,0.106,2.3018,0.1071,0.003877,11347800,11347800,0
4,0.1046,2.2968,0.1043,0.006651,11347800,11347800,0
5,0.1068,2.2967,0.1066,0.005897,11347800,11347800,0
6,0.1404,2.2937,0.1359,0.007369,11347800,11347800,0
7,0.1384,2.2909,0.1396,0.007219,11347800,11347800,0
8,0.1464,2.2868,0.1427,0.007582,11347800,11347800,0
9,0.1416,2.2816,0.1304,0.005611,11347800,11347800,0
10,0.1586,2.2774,0.1384,0.002998,11347800,11347800,0
11,0.1644,2.276,0.1411,0.002642,11347800,11347800,0
12,0.166,2.2722,0.1475,0.002684,11347800,11347800,0
13,0.1574,2.2727,0.1407,0.003142,11347800,11347800,0
14,0.1404,2.2689,0.1299,0.00246,11347800,11347800,0
15,0.1412,2.2698,0.1268,0.0027,11347800,11347800,0
16,0.1304,2.2693,0.1183,0.003122,11347800,11347800,0
17,0.1268,2.2735,0.1196,0.002744,11347800,11347800,0
18,0.1436,2.2677,0.1313,0.002299,11347800,11347800,0
19,0.1374,2.2642,0.1248,0.002479,11347800,11347800,0
20,0.1278,2.2572,0.1202,0.002753,11347800,11347800,0
21,0.1516,2.2528,0.1416,0.002439,11347800,11347800,0
22,0.1548,2.249,0.1446,0.00224,11347800,11347800,0
23,0.1706,2.2399,0.1555,0.001907,11347800,11347800,0
24,0.1588,2.2379,0.1417,0.002507,11347800,11347800,0
25,0.167,2.23,0.1548,0.002199,11347800,11347800,0
26,0.1794,2.2251,0.1641,0.001954,11347800,11347800,0
27,0.1928,2.2171,0.1757,0.002239,11347800,11347800,0
28,0.2114,2.213,0.1987,0.001887,11347800,11347800,0
29,0.2068,2.2127,0.192,0.002018,11347800,11347800,0
30,0.1864,2.2092,0.1731,0.00195,11347800,11347800,0
31,0.1846,2.2135,0.1722,0.001837,11347800,11347800,0
32,0.1832,2.2074,0.1698,0.001985,11347800,11347800,0
33,0.1924,2.2028,0.1851,0.001127,11347800,11347800,0
34,0.2018,2.1974,0.1836,0.00161,11347800,11347800,0
35,0.1986,2.1944,0.1831,0.001135,11347800,11347800,0
36,0.198,2.1893,0.1923,0.001235,11347800,11347800,0
37,0.1966,2.1878,0.1906,0.001033,11347800,11347800,0
38,0.197,2.185,0.1859,0.001649,11347800,11347800,0
39,0.1982,2.1752,0.1892,0.001283,11347800,11347800,0
40,0.2042,2.1796,0.1961,0.002066,11347800,11347800,0
41,0.215,2.1793,0.2057,0.002399,11347800,11347800,0
42,0.2052,2.17,0.1979,0.001739,11347800,11347800,0
43,0.2096,2.1673,0.202,0.002133,11347800,11347800,0
44,0.2062,2.1683,0.1963,0.001588,11347800,11347800,0
45,0.2136,2.1644,0.2077,0.001361,11347800,11347800,0
46,0.2076,2.1682,0.2037,0.002874,11347800,11347800,0
47,0.2208,2.1609,0.2152,0.002645,11347800,11347800,0
48,0.2298,2.1557,0.2191,0.002144,11347800,11347800,0
49,0.2298,2.1524,0.2177,0.001628,11347800,11347800,0
50,0.228,2.1513,0.2118,0.001764,11347800,11347800,0
51,0.2236,2.1507,0.2086,0.004382,11347800,11347800,0
52,0.2252,2.1454,0.2142,0.004012,11347800,11347800,0
53,0.2204,2.1428,0.2055,0.002825,11347800,11347800,0
54,0.2066,2.1386,0.1963,0.002515,11347800,11347800,0
55,0.219,2.1377,0.2006,0.002699,11347800,11347800,0
56,0.2216,2.1305,0.2129,0.002686,11347800,11347800,0
57,0.225,2.1314,0.2142,0.001598,11347800,11347800,0
58,0.2098,2.1331,0.1923,0.002329,11347800,11347800,0
59,0.2348,2.1296,0.2252,0.002394,11347800,11347800,0
60,0.219,2.1263,0.2021,0.00209,11347800,11347800,0
