round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.0948,2.3067,0.0939,3.9e-05,11347800,11347800,0
2,0.097,2.2981,0.0986,0.000104,11347800,11347800,0
3,0.0982,2.2921,0.1019,0.000107,11347800,11347800,0
4,0.1076,2.2879,0.1063,8.7e-05,11347800,11347800,0
5,0.1162,2.286,0.1171,7.4e-05,11347800,11347800,0
6,0.1202,2.2844,0.124,8e-05,11347800,11347800,0
7,0.1236,2.2817,0.1252,8.2e-05,11347800,11347800,0
8,0.1326,2.2793,0.1377,6.3e-05,11347800,11347800,0
9,0.1364,2.2775,0.1429,4.3e-05,11347800,11347800,0
10,0.1544,2.2761,0.1576,7.4e-05,11347800,11347800,0
11,0.1688,2.2753,0.1687,7.7e-05,11347800,11347800,0
12,0.1776,2.275,0.1788,8.7e-05,11347800,11347800,0
13,0.183,2.2751,0.1827,3.9e-05,11347800,11347800,0
14,0.1822,2.2761,0.1823,0.000113,11347800,11347800,0
15,0.1872,2.2765,0.1851,5.6e-05,11347800,11347800,0
16,0.1804,2.2795,0.1817,8.1e-05,11347800,11347800,0
17,0.176,2.2827,0.1737,7e-05,11347800,11347800,0
18,0.1664,2.2849,0.1684,8.9e-05,11347800,11347800,0
19,0.1604,2.2882,0.1628,9.3e-05,11347800,11347800,0
20,0.146,2.2904,0.1509,7.7e-05,11347800,11347800,0
21,0.151,2.292,0.1527,0.000107,11347800,11347800,0
22,0.1382,2.2938,0.1353,0.000119,11347800,11347800,0
23,0.1416,2.2946,0.1426,0.000111,11347800,11347800,0
24,0.1286,2.2966,0.1249,8.8e-05,11347800,11347800,0
25,0.1396,2.2963,0.1368,0.000123,11347800,11347800,0
26,0.1256,2.2973,0.1211,0.000115,11347800,11347800,0
27,0.1336,2.297,0.1277,0.000108,11347800,11347800,0
28,0.1162,2.2983,0.1146,8.4e-05,11347800,11347800,0
29,0.1224,2.2976,0.1229,8e-05,11347800,11347800,0
30,0.1128,2.2985,0.1115,7e-05,11347800,11347800,0
31,0.1244,2.2971,0.1226,9.4e-05,11347800,11347800,0
32,0.115,2.298,0.1132,7.6e-05,11347800,11347800,0
33,0.1328,2.2954,0.1287,0.000117,11347800,11347800,0
34,0.1202,2.2962,0.1174,9.4e-05,11347800,11347800,0
35,0.1356,2.2944,0.1329,0.00012,11347800,11347800,0
36,0.1262,2.2955,0.1207,0.000116,11347800,11347800,0
37,0.1352,2.2934,0.135,0.000119,11347800,11347800,0
38,0.1256,2.2943,0.1229,0.000123,11347800,11347800,0
39,0.1344,2.2927,0.1368,0.00012,11347800,11347800,0
40,0.1294,2.2927,0.1321,0.000111,11347800,11347800,0
41,0.1392,2.2917,0.1426,9.5e-05,11347800,11347800,0
42,0.1282,2.2924,0.1314,7.8e-05,11347800,11347800,0
43,0.1434,2.2894,0.1494,7.9e-05,11347800,11347800,0
44,0.1364,2.2903,0.1398,5.8e-05,11347800,11347800,0
45,0.151,2.2873,0.1565,6e-05,11347800,11347800,0
46,0.1458,2.2879,0.1499,5.1e-05,11347800,11347800,0
47,0.1614,2.2849,0.1653,3.9e-05,11347800,11347800,0
48,0.1528,2.2856,0.158,3.4e-05,11347800,11347800,0
49,0.1692,2.2828,0.1701,3.6e-05,11347800,11347800,0
50,0.1614,2.2827,0.1636,4.4e-05,11347800,11347800,0
51,0.1748,2.2791,0.1734,3.1e-05,11347800,11347800,0
52,0.1668,2.2791,0.1683,1.7e-05,11347800,11347800,0
53,0.177,2.2733,0.1796,3.9e-05,11347800,11347800,0
54,0.1712,2.2719,0.1766,3.2e-05,11347800,11347800,0
55,0.1814,2.2651,0.191,6.9e-05,11347800,11347800,0
56,0.1768,2.2639,0.191,9.4e-05,11347800,11347800,0
57,0.1894,2.2564,0.2016,7.4e-05,11347800,11347800,0
58,0.185,2.2545,0.1972,0.000105,11347800,11347800,0
59,0.1968,2.2448,0.2086,0.000121,11347800,11347800,0
60,0.194,2.2434,0.2037,0.000171,11347800,11347800,0
