round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.105,2.3089,0.1038,0.002483,22695600,11347800,11347800
2,0.1146,2.3019,0.1076,0.002822,22695600,11347800,11347800
3,0.116,2.2968,0.1184,0.002837,22695600,11347800,11347800
4,0.1072,2.2908,0.1073,0.004899,22695600,11347800,11347800
5,0.1406,2.2895,0.1425,0.001859,22695600,11347800,11347800
6,0.1332,2.2879,0.1527,0.00526,22695600,11347800,11347800
7,0.1388,2.2842,0.1524,0.004903,22695600,11347800,11347800
8,0.1162,2.2851,0.1362,0.011098,22695600,11347800,11347800
9,0.1188,2.2807,0.1348,0.01062,22695600,11347800,11347800
10,0.1184,2.2774,0.1369,0.01135,22695600,11347800,11347800
11,0.122,2.2766,0.1377,0.008801,22695600,11347800,11347800
12,0.1382,2.2773,0.1573,0.011635,22695600,11347800,11347800
13,0.1366,2.2752,0.1566,0.011205,22695600,11347800,11347800
14,0.115,2.2784,0.1352,0.016285,22695600,11347800,11347800
15,0.1404,2.2722,0.1561,0.008158,22695600,11347800,11347800
16,0.1572,2.276,0.1739,0.010994,22695600,11347800,11347800
17,0.1494,2.2787,0.1633,0.006194,22695600,11347800,11347800
18,0.1536,2.2724,0.1698,0.006418,22695600,11347800,11347800
19,0.1394,2.2697,0.1572,0.015207,22695600,11347800,11347800
20,0.1578,2.2596,0.1781,0.009667,22695600,11347800,11347800
21,0.16,2.2572,0.1761,0.009276,22695600,11347800,11347800
22,0.1734,2.2547,0.188,0.006614,22695600,11347800,11347800
23,0.1694,2.2427,0.1832,0.01046,22695600,11347800,11347800
24,0.1678,2.2389,0.1852,0.010885,22695600,11347800,11347800
25,0.1586,2.2372,0.1764,0.009415,22695600,11347800,11347800
26,0.1752,2.2341,0.1943,0.004374,22695600,11347800,11347800
27,0.1734,2.2304,0.1896,0.005613,22695600,11347800,11347800
28,0.1846,2.2325,0.2006,0.0071,22695600,11347800,11347800
29,0.1742,2.2333,0.1877,0.008302,22695600,11347800,11347800
30,0.193,2.2231,0.204,0.006371,22695600,11347800,11347800
31,0.1796,2.2341,0.1942,0.006555,22695600,11347800,11347800
32,0.1804,2.2311,0.1964,0.006027,22695600,11347800,11347800
33,0.1874,2.2271,0.2008,0.006995,22695600,11347800,11347800
34,0.1966,2.2222,0.2053,0.004536,22695600,11347800,11347800
35,0.1916,2.2213,0.2029,0.006133,22695600,11347800,11347800
36,0.18,2.2188,0.1908,0.008208,22695600,11347800,11347800
37,0.185,2.214,0.1963,0.006449,22695600,11347800,11347800
38,0.1906,2.2086,0.1974,0.005823,22695600,11347800,11347800
39,0.197,2.2047,0.2087,0.005013,22695600,11347800,11347800
40,0.2078,2.2038,0.2196,0.006854,22695600,11347800,11347800
41,0.212,2.1991,0.2187,0.00678,22695600,11347800,11347800
42,0.191,2.2008,0.2033,0.007595,22695600,11347800,11347800
43,0.204,2.1927,0.2077,0.009225,22695600,11347800,11347800
44,0.2182,2.1877,0.2222,0.005136,22695600,11347800,11347800
45,0.2102,2.1844,0.219,0.006503,22695600,11347800,11347800
46,0.2126,2.1861,0.2105,0.006823,22695600,11347800,11347800
47,0.2118,2.1832,0.2135,0.005494,22695600,11347800,11347800
48,0.2178,2.1817,0.2214,0.00619,22695600,11347800,11347800
49,0.2106,2.1811,0.2137,0.006948,22695600,11347800,11347800
50,0.2144,2.1743,0.2179,0.005311,22695600,11347800,11347800
51,0.2158,2.1672,0.218,0.007222,22695600,11347800,11347800
52,0.2138,2.17,0.2181,0.007866,22695600,11347800,11347800
53,0.1966,2.1696,0.2089,0.007641,22695600,11347800,11347800
54,0.2016,2.1677,0.2136,0.007481,22695600,11347800,11347800
55,0.2142,2.1628,0.2204,0.007028,22695600,11347800,11347800
56,0.2104,2.164,0.2189,0.008958,22695600,11347800,11347800
57,0.225,2.1551,0.2281,0.006999,22695600,11347800,11347800
58,0.224,2.1496,0.2272,0.00422,22695600,11347800,11347800
59,0.2114,2.1499,0.2215,0.005851,22695600,11347800,11347800
60,0.2234,2.1467,0.225,0.005402,22695600,11347800,11347800
