round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state
1,0.0974,2.3081,0.0951,5.4e-05,22695600,11347800,11347800
2,0.1074,2.3021,0.1073,7e-05,22695600,11347800,11347800
3,0.1052,2.2965,0.1056,0.000165,22695600,11347800,11347800
4,0.1032,2.2915,0.1026,9.2e-05,22695600,11347800,11347800
5,0.1258,2.2908,0.1232,7.2e-05,22695600,11347800,11347800
6,0.1348,2.2892,0.1341,8.2e-05,22695600,11347800,11347800
7,0.137,2.2865,0.1348,7.3e-05,22695600,11347800,11347800
8,0.1442,2.2839,0.146,9.5e-05,22695600,11347800,11347800
9,0.1452,2.2813,0.1425,6.9e-05,22695600,11347800,11347800
10,0.1536,2.279,0.1514,0.000152,22695600,11347800,11347800
11,0.139,2.2786,0.1362,0.000173,22695600,11347800,11347800
12,0.16,2.275,0.1572,0.000192,22695600,11347800,11347800
13,0.1576,2.2739,0.1607,0.000111,22695600,11347800,11347800
14,0.1362,2.275,0.1347,0.000129,22695600,11347800,11347800
15,0.1546,2.2713,0.1524,0.00012,22695600,11347800,11347800
16,0.1558,2.2736,0.1531,0.000103,22695600,11347800,11347800
17,0.145,2.2753,0.1432,0.000103,22695600,11347800,11347800
18,0.1514,2.2732,0.1501,9.7e-05,22695600,11347800,11347800
19,0.1378,2.2714,0.1348,9.4e-05,22695600,11347800,11347800
20,0.1264,2.2672,0.1272,0.000127,22695600,11347800,11347800
21,0.1356,2.2617,0.1386,0.000114,22695600,11347800,11347800
22,0.1374,2.2596,0.1404,0.000139,22695600,11347800,11347800
23,0.137,2.2573,0.1357,0.000126,22695600,11347800,11347800
24,0.1472,2.2542,0.1497,0.000113,22695600,11347800,11347800
25,0.1448,2.2521,0.1471,0.000144,22695600,11347800,11347800
26,0.1628,2.2489,0.1674,0.000154,22695600,11347800,11347800
27,0.1736,2.2436,0.1692,9.2e-05,22695600,11347800,11347800
28,0.1886,2.2362,0.1902,0.000116,22695600,11347800,11347800
29,0.1954,2.2348,0.1957,0.000131,22695600,11347800,11347800
30,0.1874,2.2309,0.1911,0.000168,22695600,11347800,11347800
31,0.1828,2.2286,0.1865,6.9e-05,22695600,11347800,11347800
32,0.1904,2.2259,0.1892,7.9e-05,22695600,11347800,11347800
33,0.1898,2.2235,0.1917,5.8e-05,22695600,11347800,11347800
34,0.1938,2.2186,0.1923,9.2e-05,22695600,11347800,11347800
35,0.185,2.2198,0.1878,8.3e-05,22695600,11347800,11347800
36,0.1944,2.2156,0.1951,7.4e-05,22695600,11347800,11347800
37,0.1912,2.2116,0.1913,0.0001,22695600,11347800,11347800
38,0.2056,2.2066,0.2047,7.8e-05,22695600,11347800,11347800
39,0.214,2.2022,0.2062,9.4e-05,22695600,11347800,11347800
40,0.2124,2.1985,0.2047,0.000129,22695600,11347800,11347800
41,0.2154,2.1954,0.211,0.000121,22695600,11347800,11347800
42,0.2116,2.1931,0.2098,0.000155,22695600,11347800,11347800
43,0.2084,2.1894,0.2071,0.000165,22695600,11347800,11347800
44,0.2082,2.1849,0.2109,0.000186,22695600,11347800,11347800
45,0.2062,2.1841,0.209,0.000106,22695600,11347800,11347800
46,0.207,2.1816,0.2042,0.000124,22695600,11347800,11347800
47,0.2182,2.1749,0.2078,0.000117,22695600,11347800,11347800
48,0.222,2.1735,0.2159,0.000162,22695600,11347800,11347800
49,0.2342,2.1678,0.2265,0.000142,22695600,11347800,11347800
50,0.2334,2.1665,0.2253,0.000136,22695600,11347800,11347800
51,0.2308,2.1635,0.224,7.5e-05,22695600,11347800,11347800
52,0.2248,2.1613,0.2246,0.000118,22695600,11347800,11347800
53,0.2264,2.1589,0.2262,8.7e-05,22695600,11347800,11347800
54,0.2264,2.1583,0.2243,0.000118,22695600,11347800,11347800
55,0.2264,2.1535,0.2232,0.00014,22695600,11347800,11347800
56,0.2312,2.1484,0.2264,0.000122,22695600,11347800,11347800
57,0.238,2.1457,0.2324,0.000176,22695600,11347800,11347800
58,0.2414,2.1439,0.2312,0.000156,22695600,11347800,11347800
59,0.2348,2.1394,0.2304,0.000113,22695600,11347800,11347800
60,0.2348,2.1381,0.2295,0.000181,22695600,11347800,11347800
