round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state,secagg_mask_s,secagg_agg_s,secagg_msgs
1,0.1512,2.2686,0.179,0.018444,11347800,11347800,0,0.0,0.0,0
2,0.1836,2.1969,0.223,0.022482,11347800,11347800,0,0.0,0.0,0
3,0.185,2.2044,0.2322,0.028987,11347800,11347800,0,0.0,0.0,0
4,0.2066,2.1375,0.2476,0.02739,11347800,11347800,0,0.0,0.0,0
5,0.2276,2.0621,0.2591,0.02996,11347800,11347800,0,0.0,0.0,0
6,0.2324,2.036,0.2821,0.033164,11347800,11347800,0,0.0,0.0,0
7,0.2546,1.997,0.3099,0.029255,11347800,11347800,0,0.0,0.0,0
8,0.265,1.9636,0.3214,0.026288,11347800,11347800,0,0.0,0.0,0
9,0.2774,1.9178,0.3352,0.023787,11347800,11347800,0,0.0,0.0,0
10,0.2776,1.9137,0.3291,0.027551,11347800,11347800,0,0.0,0.0,0
11,0.2844,1.9037,0.3445,0.026048,11347800,11347800,0,0.0,0.0,0
12,0.2878,1.8802,0.3471,0.026336,11347800,11347800,0,0.0,0.0,0
13,0.308,1.8422,0.3551,0.017373,11347800,11347800,0,0.0,0.0,0
14,0.306,1.8776,0.3559,0.019502,11347800,11347800,0,0.0,0.0,0
15,0.3158,1.8116,0.3715,0.02232,11347800,11347800,0,0.0,0.0,0
16,0.2922,1.858,0.3447,0.026838,11347800,11347800,0,0.0,0.0,0
17,0.3248,1.8025,0.3755,0.018906,11347800,11347800,0,0.0,0.0,0
18,0.321,1.8043,0.3776,0.021602,11347800,11347800,0,0.0,0.0,0
19,0.3378,1.7817,0.3823,0.019329,11347800,11347800,0,0.0,0.0,0
20,0.3414,1.7578,0.3879,0.014741,11347800,11347800,0,0.0,0.0,0
21,0.3404,1.7798,0.3745,0.015903,11347800,11347800,0,0.0,0.0,0
22,0.32,1.8158,0.3709,0.025696,11347800,11347800,0,0.0,0.0,0
23,0.3318,1.7876,0.3863,0.024978,11347800,11347800,0,0.0,0.0,0
24,0.3402,1.7766,0.3884,0.019167,11347800,11347800,0,0.0,0.0,0
25,0.3628,1.7021,0.4074,0.012782,11347800,11347800,0,0.0,0.0,0
26,0.3576,1.7272,0.4062,0.017462,11347800,11347800,0,0.0,0.0,0
27,0.3634,1.7115,0.4102,0.009159,11347800,11347800,0,0.0,0.0,0
28,0.3658,1.7147,0.4048,0.016466,11347800,11347800,0,0.0,0.0,0
29,0.382,1.6831,0.4148,0.00951,11347800,11347800,0,0.0,0.0,0
30,0.3704,1.6969,0.4233,0.012367,11347800,11347800,0,0.0,0.0,0
31,0.3818,1.6818,0.4261,0.01433,11347800,11347800,0,0.0,0.0,0
32,0.3814,1.6699,0.4275,0.014602,11347800,11347800,0,0.0,0.0,0
33,0.3604,1.7115,0.4135,0.016767,11347800,11347800,0,0.0,0.0,0
34,0.3906,1.6554,0.4457,0.010161,11347800,11347800,0,0.0,0.0,0
35,0.3856,1.6629,0.439,0.012307,11347800,11347800,0,0.0,0.0,0
36,0.3888,1.6739,0.4201,0.010551,11347800,11347800,0,0.0,0.0,0
37,0.3964,1.6351,0.4431,0.009067,11347800,11347800,0,0.0,0.0,0
38,0.3852,1.6629,0.4408,0.011196,11347800,11347800,0,0.0,0.0,0
39,0.4096,1.6195,0.4477,0.006149,11347800,11347800,0,0.0,0.0,0
40,0.3848,1.6639,0.4392,0.012523,11347800,11347800,0,0.0,0.0,0
41,0.3838,1.6535,0.4398,0.013856,11347800,11347800,0,0.0,0.0,0
42,0.3992,1.6384,0.4503,0.012533,11347800,11347800,0,0.0,0.0,0
43,0.41,1.6057,0.4527,0.007788,11347800,11347800,0,0.0,0.0,0
44,0.4214,1.5844,0.4625,0.00439,11347800,11347800,0,0.0,0.0,0
45,0.4092,1.6154,0.4609,0.009697,11347800,11347800,0,0.0,0.0,0
46,0.3986,1.6548,0.4471,0.015374,11347800,11347800,0,0.0,0.0,0
47,0.411,1.6122,0.4542,0.008623,11347800,11347800,0,0.0,0.0,0
48,0.4202,1.6,0.4694,0.006404,11347800,11347800,0,0.0,0.0,0
49,0.4128,1.6,0.4644,0.007922,11347800,11347800,0,0.0,0.0,0
50,0.3992,1.6431,0.46,0.012697,11347800,11347800,0,0.0,0.0,0
51,0.427,1.6014,0.4642,0.007173,11347800,11347800,0,0.0,0.0,0
52,0.4114,1.611,0.4731,0.008662,11347800,11347800,0,0.0,0.0,0
53,0.412,1.6143,0.4677,0.011462,11347800,11347800,0,0.0,0.0,0
54,0.4184,1.6031,0.474,0.010693,11347800,11347800,0,0.0,0.0,0
55,0.4226,1.5904,0.4787,0.006428,11347800,11347800,0,0.0,0.0,0
56,0.4028,1.6493,0.4635,0.011502,11347800,11347800,0,0.0,0.0,0
57,0.4202,1.5962,0.4742,0.009813,11347800,11347800,0,0.0,0.0,0
58,0.4176,1.5981,0.4722,0.007881,11347800,11347800,0,0.0,0.0,0
59,0.4184,1.6107,0.4832,0.009417,11347800,11347800,0,0.0,0.0,0
60,0.4342,1.5838,0.4801,0.006397,11347800,11347800,0,0.0,0.0,0
