round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state,secagg_mask_s,secagg_agg_s,secagg_msgs
1,0.1512,2.2686,0.179,0.018444,22695600,11347800,11347800,0.66007,0.00226,420
2,0.1702,2.2161,0.2166,0.032242,22695600,11347800,11347800,0.66173,0.00217,420
3,0.1836,2.2204,0.2341,0.030656,22695600,11347800,11347800,0.66234,0.0021,420
4,0.1964,2.1621,0.2374,0.030593,22695600,11347800,11347800,0.66869,0.00213,420
5,0.2168,2.0774,0.2647,0.034367,22695600,11347800,11347800,0.66233,0.00224,420
6,0.2196,2.0954,0.271,0.032537,22695600,11347800,11347800,0.68096,0.00217,420
7,0.2354,2.0972,0.2896,0.028083,22695600,11347800,11347800,0.65922,0.00208,420
8,0.2398,2.0621,0.2944,0.02646,22695600,11347800,11347800,0.66466,0.00244,420
9,0.2652,2.0365,0.317,0.016603,22695600,11347800,11347800,0.66703,0.00217,420
10,0.237,2.1089,0.2885,0.030978,22695600,11347800,11347800,0.67483,0.00228,420
11,0.246,2.1293,0.2971,0.03299,22695600,11347800,11347800,0.69961,0.00223,420
12,0.2478,2.1027,0.3039,0.032077,22695600,11347800,11347800,0.69684,0.00213,420
13,0.2666,2.0276,0.3267,0.03127,22695600,11347800,11347800,0.66759,0.00216,420
14,0.2656,2.0855,0.3273,0.026664,22695600,11347800,11347800,0.69985,0.00218,420
15,0.2728,2.0141,0.3239,0.032564,22695600,11347800,11347800,0.70401,0.00236,420
16,0.2462,2.0724,0.3028,0.035909,22695600,11347800,11347800,0.6783,0.00224,420
17,0.27,2.0219,0.3307,0.028784,22695600,11347800,11347800,0.65919,0.00217,420
18,0.2742,2.0202,0.3338,0.030246,22695600,11347800,11347800,0.6636,0.00213,420
19,0.262,2.0522,0.3138,0.03662,22695600,11347800,11347800,0.66064,0.00212,420
20,0.277,2.0404,0.3374,0.026918,22695600,11347800,11347800,0.66255,0.00213,420
21,0.2844,2.0133,0.3286,0.022929,22695600,11347800,11347800,0.66291,0.00218,420
22,0.2634,2.1109,0.3161,0.035221,22695600,11347800,11347800,0.65953,0.00208,420
23,0.2746,2.063,0.3384,0.041421,22695600,11347800,11347800,0.6663,0.00236,420
24,0.2684,1.9752,0.3315,0.03327,22695600,11347800,11347800,0.66319,0.00212,420
25,0.285,1.9378,0.3505,0.029967,22695600,11347800,11347800,0.66912,0.00215,420
26,0.2902,1.9872,0.3599,0.03037,22695600,11347800,11347800,0.66918,0.00213,420
27,0.2718,1.9494,0.3176,0.036446,22695600,11347800,11347800,0.66957,0.00243,420
28,0.2842,1.9321,0.35,0.029924,22695600,11347800,11347800,0.67262,0.00212,420
29,0.2974,1.9115,0.3594,0.025659,22695600,11347800,11347800,0.66787,0.00213,420
30,0.2942,1.9421,0.3659,0.026809,22695600,11347800,11347800,0.65842,0.00211,420
31,0.2936,1.9631,0.3605,0.023985,22695600,11347800,11347800,0.66464,0.00212,420
32,0.2894,1.9647,0.359,0.035,22695600,11347800,11347800,0.66013,0.00209,420
33,0.28,2.0861,0.3433,0.025049,22695600,11347800,11347800,0.66352,0.00214,420
34,0.3006,1.956,0.3575,0.019683,22695600,11347800,11347800,0.6821,0.00221,420
35,0.2874,1.9831,0.3537,0.025761,22695600,11347800,11347800,0.66202,0.00287,420
36,0.2986,1.922,0.364,0.036969,22695600,11347800,11347800,0.66004,0.00209,420
37,0.3012,1.9563,0.3697,0.033219,22695600,11347800,11347800,0.66231,0.00213,420
38,0.2872,2.0665,0.361,0.03818,22695600,11347800,11347800,0.66078,0.00209,420
39,0.2952,1.9474,0.3683,0.027441,22695600,11347800,11347800,0.66401,0.00213,420
40,0.2664,2.0372,0.3369,0.034782,22695600,11347800,11347800,0.66348,0.00209,420
41,0.2912,2.0227,0.3597,0.041385,22695600,11347800,11347800,0.67299,0.00215,420
42,0.2982,1.9763,0.3675,0.031837,22695600,11347800,11347800,0.66075,0.00211,420
43,0.3032,1.9216,0.3821,0.024957,22695600,11347800,11347800,0.66138,0.0021,420
44,0.2966,1.9264,0.3701,0.031005,22695600,11347800,11347800,0.6645,0.0021,420
45,0.281,2.0169,0.3541,0.036035,22695600,11347800,11347800,0.65979,0.00223,420
46,0.2974,1.9511,0.3605,0.038163,22695600,11347800,11347800,0.6941,0.00225,420
47,0.2952,1.9549,0.3578,0.038277,22695600,11347800,11347800,0.66249,0.00209,420
48,0.3084,1.9032,0.3833,0.031202,22695600,11347800,11347800,0.65927,0.00209,420
49,0.3052,1.9057,0.3822,0.020709,22695600,11347800,11347800,0.66782,0.0022,420
50,0.2922,1.9484,0.3702,0.02327,22695600,11347800,11347800,0.66397,0.00253,420
51,0.3178,1.853,0.3842,0.026281,22695600,11347800,11347800,0.65875,0.00208,420
52,0.2994,1.9409,0.3763,0.030642,22695600,11347800,11347800,0.66383,0.00212,420
53,0.3078,1.9196,0.3696,0.038396,22695600,11347800,11347800,0.65959,0.0021,420
54,0.3074,1.921,0.3807,0.031699,22695600,11347800,11347800,0.66205,0.00218,420
55,0.3214,1.9204,0.3913,0.020932,22695600,11347800,11347800,0.66073,0.00214,420
56,0.2916,1.9865,0.3663,0.035161,22695600,11347800,11347800,0.66116,0.00208,420
57,0.312,1.9063,0.3789,0.031815,22695600,11347800,11347800,0.66445,0.00211,420
58,0.3164,1.8802,0.3913,0.020356,22695600,11347800,11347800,0.66316,0.0021,420
59,0.3136,1.9353,0.3881,0.02635,22695600,11347800,11347800,0.65863,0.00211,420
60,0.3214,1.8551,0.3866,0.023985,22695600,11347800,11347800,0.66166,0.00209,420
