round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state,secagg_mask_s,secagg_agg_s,secagg_msgs
1,0.0944,2.3309,0.0715,0.014518,11347800,11347800,0,0.0,0.0,0
2,0.103,2.3333,0.0747,0.022824,11347800,11347800,0,0.0,0.0,0
3,0.1058,2.3247,0.0778,0.022551,11347800,11347800,0,0.0,0.0,0
4,0.1068,2.3147,0.0782,0.021662,11347800,11347800,0,0.0,0.0,0
5,0.1096,2.3081,0.081,0.02117,11347800,11347800,0,0.0,0.0,0
6,0.1156,2.3002,0.0833,0.020148,11347800,11347800,0,0.0,0.0,0
7,0.1144,2.2955,0.0854,0.020909,11347800,11347800,0,0.0,0.0,0
8,0.1206,2.2873,0.0903,0.019535,11347800,11347800,0,0.0,0.0,0
9,0.1172,2.2842,0.0933,0.020082,11347800,11347800,0,0.0,0.0,0
10,0.1218,2.2795,0.0996,0.020031,11347800,11347800,0,0.0,0.0,0
11,0.1298,2.2713,0.1039,0.019794,11347800,11347800,0,0.0,0.0,0
12,0.1448,2.2653,0.1191,0.01845,11347800,11347800,0,0.0,0.0,0
13,0.1408,2.264,0.1145,0.019027,11347800,11347800,0,0.0,0.0,0
14,0.1468,2.2519,0.1212,0.017234,11347800,11347800,0,0.0,0.0,0
15,0.1416,2.2524,0.1203,0.018365,11347800,11347800,0,0.0,0.0,0
16,0.1572,2.2407,0.1347,0.015162,11347800,11347800,0,0.0,0.0,0
17,0.166,2.2344,0.1445,0.013849,11347800,11347800,0,0.0,0.0,0
18,0.1758,2.2314,0.1517,0.014548,11347800,11347800,0,0.0,0.0,0
19,0.188,2.2202,0.1642,0.010129,11347800,11347800,0,0.0,0.0,0
20,0.1858,2.2172,0.1592,0.012017,11347800,11347800,0,0.0,0.0,0
21,0.1912,2.2143,0.1712,0.010809,11347800,11347800,0,0.0,0.0,0
22,0.2034,2.2032,0.18,0.009243,11347800,11347800,0,0.0,0.0,0
23,0.2048,2.2022,0.1805,0.009969,11347800,11347800,0,0.0,0.0,0
24,0.2048,2.1912,0.1875,0.008618,11347800,11347800,0,0.0,0.0,0
25,0.2074,2.1864,0.1864,0.009934,11347800,11347800,0,0.0,0.0,0
26,0.2184,2.1744,0.1983,0.007353,11347800,11347800,0,0.0,0.0,0
27,0.2126,2.1796,0.1981,0.009603,11347800,11347800,0,0.0,0.0,0
28,0.2176,2.1762,0.203,0.00876,11347800,11347800,0,0.0,0.0,0
29,0.2176,2.1698,0.2064,0.008963,11347800,11347800,0,0.0,0.0,0
30,0.2254,2.1587,0.2093,0.007981,11347800,11347800,0,0.0,0.0,0
31,0.2234,2.1592,0.2094,0.008615,11347800,11347800,0,0.0,0.0,0
32,0.2224,2.1592,0.2087,0.008402,11347800,11347800,0,0.0,0.0,0
33,0.2258,2.1553,0.2126,0.008358,11347800,11347800,0,0.0,0.0,0
34,0.2244,2.1563,0.2111,0.008359,11347800,11347800,0,0.0,0.0,0
35,0.2306,2.1432,0.2176,0.007918,11347800,11347800,0,0.0,0.0,0
36,0.2294,2.1428,0.2137,0.008415,11347800,11347800,0,0.0,0.0,0
37,0.2246,2.1497,0.2073,0.009426,11347800,11347800,0,0.0,0.0,0
38,0.2316,2.1392,0.2127,0.008282,11347800,11347800,0,0.0,0.0,0
39,0.2342,2.1383,0.2149,0.008181,11347800,11347800,0,0.0,0.0,0
40,0.2316,2.1356,0.2167,0.008372,11347800,11347800,0,0.0,0.0,0
41,0.2418,2.1154,0.2283,0.007447,11347800,11347800,0,0.0,0.0,0
42,0.2354,2.1253,0.2218,0.007941,11347800,11347800,0,0.0,0.0,0
43,0.234,2.1262,0.2194,0.008931,11347800,11347800,0,0.0,0.0,0
44,0.2402,2.1203,0.226,0.007436,11347800,11347800,0,0.0,0.0,0
45,0.2394,2.1223,0.2239,0.007778,11347800,11347800,0,0.0,0.0,0
46,0.2368,2.1236,0.228,0.007386,11347800,11347800,0,0.0,0.0,0
47,0.2416,2.1195,0.2276,0.007619,11347800,11347800,0,0.0,0.0,0
48,0.2412,2.1186,0.231,0.007886,11347800,11347800,0,0.0,0.0,0
49,0.246,2.1101,0.2357,0.007672,11347800,11347800,0,0.0,0.0,0
50,0.2428,2.1116,0.2267,0.007411,11347800,11347800,0,0.0,0.0,0
51,0.248,2.1094,0.2392,0.008203,11347800,11347800,0,0.0,0.0,0
52,0.2468,2.1046,0.2405,0.00757,11347800,11347800,0,0.0,0.0,0
53,0.2506,2.1001,0.2361,0.006716,11347800,11347800,0,0.0,0.0,0
54,0.2458,2.1046,0.2367,0.007096,11347800,11347800,0,0.0,0.0,0
55,0.2458,2.1076,0.2313,0.007651,11347800,11347800,0,0.0,0.0,0
56,0.2532,2.1003,0.2354,0.006958,11347800,11347800,0,0.0,0.0,0
57,0.2566,2.0946,0.2364,0.006827,11347800,11347800,0,0.0,0.0,0
58,0.2542,2.0992,0.2373,0.007371,11347800,11347800,0,0.0,0.0,0
59,0.2492,2.1127,0.2323,0.007993,11347800,11347800,0,0.0,0.0,0
60,0.2552,2.0958,0.2386,0.007439,11347800,11347800,0,0.0,0.0,0
