round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state,secagg_mask_s,secagg_agg_s,secagg_msgs
1,0.1044,16.0018,0.0823,0.011005,11347800,11347800,0,0.0,0.0,0
2,0.1072,36.8513,0.1266,0.06092,11347800,11347800,0,0.0,0.0,0
3,0.1014,62.0488,0.0854,0.020421,11347800,11347800,0,0.0,0.0,0
4,0.1,87.3415,0.1203,0.070166,11347800,11347800,0,0.0,0.0,0
5,0.098,57.5658,0.1096,0.018402,11347800,11347800,0,0.0,0.0,0
6,0.1138,42.871,0.147,0.012049,11347800,11347800,0,0.0,0.0,0
7,0.121,81.7733,0.1409,0.02832,11347800,11347800,0,0.0,0.0,0
8,0.1002,126.936,0.1119,0.044882,11347800,11347800,0,0.0,0.0,0
9,0.1006,102.1141,0.112,0.042238,11347800,11347800,0,0.0,0.0,0
10,0.098,107.2497,0.0824,0.018039,11347800,11347800,0,0.0,0.0,0
11,0.1034,144.5699,0.1464,0.026741,11347800,11347800,0,0.0,0.0,0
12,0.101,130.6051,0.1207,0.047904,11347800,11347800,0,0.0,0.0,0
13,0.092,127.9107,0.1251,0.012451,11347800,11347800,0,0.0,0.0,0
14,0.102,147.1124,0.049,0.010346,11347800,11347800,0,0.0,0.0,0
15,0.1006,158.4909,0.0487,0.01048,11347800,11347800,0,0.0,0.0,0
16,0.1036,143.8748,0.0703,0.005785,11347800,11347800,0,0.0,0.0,0
17,0.1312,174.7387,0.1006,0.008949,11347800,11347800,0,0.0,0.0,0
18,0.1138,131.4349,0.0673,0.007281,11347800,11347800,0,0.0,0.0,0
19,0.1058,233.2872,0.1109,0.029449,11347800,11347800,0,0.0,0.0,0
20,0.1008,170.5681,0.1427,0.030077,11347800,11347800,0,0.0,0.0,0
21,0.1086,198.5383,0.1399,0.02714,11347800,11347800,0,0.0,0.0,0
22,0.1026,142.4663,0.1393,0.024597,11347800,11347800,0,0.0,0.0,0
23,0.1138,94.4704,0.1257,0.035176,11347800,11347800,0,0.0,0.0,0
24,0.0962,160.651,0.0513,0.008945,11347800,11347800,0,0.0,0.0,0
25,0.104,154.6712,0.0878,0.020099,11347800,11347800,0,0.0,0.0,0
26,0.1176,116.2033,0.1165,0.015646,11347800,11347800,0,0.0,0.0,0
27,0.1144,133.9442,0.1018,0.014231,11347800,11347800,0,0.0,0.0,0
28,0.132,188.0345,0.1111,0.013625,11347800,11347800,0,0.0,0.0,0
29,0.1156,112.4709,0.1138,0.017302,11347800,11347800,0,0.0,0.0,0
30,0.1302,159.7219,0.1025,0.019322,11347800,11347800,0,0.0,0.0,0
31,0.1004,199.9112,0.1126,0.045041,11347800,11347800,0,0.0,0.0,0
32,0.111,152.0549,0.1043,0.007525,11347800,11347800,0,0.0,0.0,0
33,0.1002,261.4478,0.0839,0.020301,11347800,11347800,0,0.0,0.0,0
34,0.1012,238.1503,0.085,0.020036,11347800,11347800,0,0.0,0.0,0
35,0.1034,148.3019,0.1162,0.044413,11347800,11347800,0,0.0,0.0,0
36,0.0864,153.2206,0.0599,0.005408,11347800,11347800,0,0.0,0.0,0
37,0.0752,132.2406,0.0753,0.006406,11347800,11347800,0,0.0,0.0,0
38,0.0946,129.6019,0.088,0.009292,11347800,11347800,0,0.0,0.0,0
39,0.099,148.2429,0.1023,0.013659,11347800,11347800,0,0.0,0.0,0
40,0.0924,220.5451,0.0689,0.012238,11347800,11347800,0,0.0,0.0,0
41,0.1078,192.2644,0.067,0.01093,11347800,11347800,0,0.0,0.0,0
42,0.1008,180.2486,0.0504,0.010441,11347800,11347800,0,0.0,0.0,0
43,0.1098,154.2152,0.1436,0.027712,11347800,11347800,0,0.0,0.0,0
44,0.0902,132.7169,0.078,0.012065,11347800,11347800,0,0.0,0.0,0
45,0.1004,278.2976,0.1193,0.068728,11347800,11347800,0,0.0,0.0,0
46,0.1,195.1061,0.1158,0.06035,11347800,11347800,0,0.0,0.0,0
47,0.1332,125.4578,0.1329,0.012331,11347800,11347800,0,0.0,0.0,0
48,0.0916,126.689,0.0752,0.012514,11347800,11347800,0,0.0,0.0,0
49,0.1008,213.4337,0.1118,0.043368,11347800,11347800,0,0.0,0.0,0
50,0.1146,111.6292,0.1205,0.005579,11347800,11347800,0,0.0,0.0,0
51,0.1178,184.8559,0.1154,0.022338,11347800,11347800,0,0.0,0.0,0
52,0.1078,201.3203,0.125,0.051105,11347800,11347800,0,0.0,0.0,0
53,0.1032,254.0487,0.1207,0.068264,11347800,11347800,0,0.0,0.0,0
54,0.1082,230.2556,0.1099,0.023033,11347800,11347800,0,0.0,0.0,0
55,0.1012,244.1187,0.0875,0.01052,11347800,11347800,0,0.0,0.0,0
56,0.089,195.2083,0.0674,0.007846,11347800,11347800,0,0.0,0.0,0
57,0.0938,193.2901,0.0735,0.015475,11347800,11347800,0,0.0,0.0,0
58,0.092,428.6809,0.0483,0.008122,11347800,11347800,0,0.0,0.0,0
59,0.0954,292.8628,0.1045,0.025449,11347800,11347800,0,0.0,0.0,0
60,0.0838,252.9972,0.0874,0.013803,11347800,11347800,0,0.0,0.0,0
