round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state,secagg_mask_s,secagg_agg_s,secagg_msgs
1,0.1026,2.3288,0.0759,0.009858,11347800,11347800,0,0.0,0.0,0
2,0.1038,2.3347,0.0762,0.020996,11347800,11347800,0,0.0,0.0,0
3,0.1086,2.3277,0.0833,0.016731,11347800,11347800,0,0.0,0.0,0
4,0.123,2.3096,0.0874,0.015794,11347800,11347800,0,0.0,0.0,0
5,0.1256,2.3085,0.0876,0.011684,11347800,11347800,0,0.0,0.0,0
6,0.1292,2.3056,0.0834,0.008141,11347800,11347800,0,0.0,0.0,0
7,0.1314,2.3006,0.0906,0.013871,11347800,11347800,0,0.0,0.0,0
8,0.1256,2.2992,0.1003,0.009773,11347800,11347800,0,0.0,0.0,0
9,0.1096,2.3088,0.0935,0.014564,11347800,11347800,0,0.0,0.0,0
10,0.1124,2.315,0.1011,0.01783,11347800,11347800,0,0.0,0.0,0
11,0.1296,2.3006,0.1162,0.018945,11347800,11347800,0,0.0,0.0,0
12,0.1224,2.2911,0.1252,0.035074,11347800,11347800,0,0.0,0.0,0
13,0.112,2.2946,0.1162,0.031273,11347800,11347800,0,0.0,0.0,0
14,0.1278,2.2801,0.1221,0.014323,11347800,11347800,0,0.0,0.0,0
15,0.1132,2.2932,0.1161,0.033073,11347800,11347800,0,0.0,0.0,0
16,0.1376,2.2764,0.1156,0.008352,11347800,11347800,0,0.0,0.0,0
17,0.1374,2.2685,0.1479,0.04049,11347800,11347800,0,0.0,0.0,0
18,0.118,2.2736,0.1349,0.051435,11347800,11347800,0,0.0,0.0,0
19,0.1266,2.2613,0.1262,0.022239,11347800,11347800,0,0.0,0.0,0
20,0.155,2.2513,0.1336,0.005839,11347800,11347800,0,0.0,0.0,0
21,0.1516,2.2611,0.1522,0.011333,11347800,11347800,0,0.0,0.0,0
22,0.1576,2.2532,0.1662,0.024659,11347800,11347800,0,0.0,0.0,0
23,0.1294,2.255,0.1352,0.025496,11347800,11347800,0,0.0,0.0,0
24,0.1496,2.2395,0.1485,0.021032,11347800,11347800,0,0.0,0.0,0
25,0.1676,2.2308,0.1642,0.006404,11347800,11347800,0,0.0,0.0,0
26,0.174,2.2324,0.1804,0.01577,11347800,11347800,0,0.0,0.0,0
27,0.1864,2.2193,0.1866,0.010924,11347800,11347800,0,0.0,0.0,0
28,0.1764,2.2313,0.1807,0.014844,11347800,11347800,0,0.0,0.0,0
29,0.1764,2.234,0.177,0.01402,11347800,11347800,0,0.0,0.0,0
30,0.1718,2.2245,0.1642,0.00628,11347800,11347800,0,0.0,0.0,0
31,0.1792,2.2321,0.1616,0.005387,11347800,11347800,0,0.0,0.0,0
32,0.1622,2.2157,0.1664,0.012692,11347800,11347800,0,0.0,0.0,0
33,0.1754,2.2277,0.1856,0.023471,11347800,11347800,0,0.0,0.0,0
34,0.202,2.2045,0.1876,0.007496,11347800,11347800,0,0.0,0.0,0
35,0.1654,2.2099,0.1831,0.035399,11347800,11347800,0,0.0,0.0,0
36,0.1666,2.2284,0.1844,0.038689,11347800,11347800,0,0.0,0.0,0
37,0.1806,2.2139,0.1677,0.009105,11347800,11347800,0,0.0,0.0,0
38,0.2038,2.1856,0.1865,0.006581,11347800,11347800,0,0.0,0.0,0
39,0.207,2.1975,0.1957,0.012523,11347800,11347800,0,0.0,0.0,0
40,0.1958,2.198,0.2006,0.011394,11347800,11347800,0,0.0,0.0,0
41,0.2112,2.174,0.2024,0.007531,11347800,11347800,0,0.0,0.0,0
42,0.2176,2.1753,0.2074,0.006369,11347800,11347800,0,0.0,0.0,0
43,0.2184,2.177,0.2075,0.006118,11347800,11347800,0,0.0,0.0,0
44,0.2096,2.1881,0.2033,0.017056,11347800,11347800,0,0.0,0.0,0
45,0.1998,2.1748,0.1903,0.011265,11347800,11347800,0,0.0,0.0,0
46,0.2058,2.1732,0.2048,0.018917,11347800,11347800,0,0.0,0.0,0
47,0.2094,2.1799,0.2134,0.025647,11347800,11347800,0,0.0,0.0,0
48,0.2186,2.1652,0.2117,0.02074,11347800,11347800,0,0.0,0.0,0
49,0.2198,2.1475,0.2033,0.019542,11347800,11347800,0,0.0,0.0,0
50,0.2244,2.143,0.2019,0.012812,11347800,11347800,0,0.0,0.0,0
51,0.2136,2.1732,0.2105,0.019899,11347800,11347800,0,0.0,0.0,0
52,0.2186,2.1337,0.2087,0.012508,11347800,11347800,0,0.0,0.0,0
53,0.2166,2.1333,0.1895,0.010124,11347800,11347800,0,0.0,0.0,0
54,0.2042,2.154,0.1944,0.012552,11347800,11347800,0,0.0,0.0,0
55,0.2068,2.1633,0.1806,0.009037,11347800,11347800,0,0.0,0.0,0
56,0.2256,2.1287,0.1791,0.009192,11347800,11347800,0,0.0,0.0,0
57,0.2354,2.1071,0.2004,0.008861,11347800,11347800,0,0.0,0.0,0
58,0.2298,2.1186,0.2068,0.012414,11347800,11347800,0,0.0,0.0,0
59,0.2224,2.1658,0.2011,0.009248,11347800,11347800,0,0.0,0.0,0
60,0.2362,2.1065,0.2112,0.007794,11347800,11347800,0,0.0,0.0,0
