round,test_acc,test_loss,mean_client_acc,client_acc_var,bytes_up,bytes_model,bytes_state,secagg_mask_s,secagg_agg_s,secagg_msgs
1,0.1102,2.3234,0.1529,0.028969,11347800,11347800,0,0.0,0.0,0
2,0.1456,2.3193,0.2014,0.032381,11347800,11347800,0,0.0,0.0,0
3,0.155,2.3051,0.211,0.035562,11347800,11347800,0,0.0,0.0,0
4,0.1722,2.2608,0.2252,0.037954,11347800,11347800,0,0.0,0.0,0
5,0.1862,2.2097,0.2423,0.039507,11347800,11347800,0,0.0,0.0,0
6,0.1878,2.1917,0.2427,0.038404,11347800,11347800,0,0.0,0.0,0
7,0.1956,2.1679,0.2528,0.036142,11347800,11347800,0,0.0,0.0,0
8,0.2176,2.1394,0.278,0.037871,11347800,11347800,0,0.0,0.0,0
9,0.2328,2.1133,0.2923,0.035109,11347800,11347800,0,0.0,0.0,0
10,0.2242,2.0813,0.2887,0.038858,11347800,11347800,0,0.0,0.0,0
11,0.2464,2.0666,0.3141,0.036098,11347800,11347800,0,0.0,0.0,0
12,0.2504,2.0477,0.31,0.033931,11347800,11347800,0,0.0,0.0,0
13,0.2614,2.0091,0.3238,0.032259,11347800,11347800,0,0.0,0.0,0
14,0.256,2.0326,0.3164,0.033325,11347800,11347800,0,0.0,0.0,0
15,0.2788,1.9725,0.3422,0.03216,11347800,11347800,0,0.0,0.0,0
16,0.2532,2.0229,0.3147,0.037097,11347800,11347800,0,0.0,0.0,0
17,0.2772,1.9606,0.3439,0.03356,11347800,11347800,0,0.0,0.0,0
18,0.2794,1.9629,0.3482,0.034557,11347800,11347800,0,0.0,0.0,0
19,0.276,1.9358,0.3433,0.032656,11347800,11347800,0,0.0,0.0,0
20,0.2872,1.9357,0.3543,0.032337,11347800,11347800,0,0.0,0.0,0
21,0.2894,1.9098,0.3564,0.026514,11347800,11347800,0,0.0,0.0,0
22,0.2862,1.9453,0.3554,0.032567,11347800,11347800,0,0.0,0.0,0
23,0.2828,1.9493,0.3555,0.036561,11347800,11347800,0,0.0,0.0,0
24,0.2908,1.9072,0.3592,0.031896,11347800,11347800,0,0.0,0.0,0
25,0.3012,1.8767,0.3693,0.032536,11347800,11347800,0,0.0,0.0,0
26,0.2978,1.8996,0.3694,0.030568,11347800,11347800,0,0.0,0.0,0
27,0.3154,1.8424,0.3854,0.024379,11347800,11347800,0,0.0,0.0,0
28,0.3044,1.8727,0.3789,0.028992,11347800,11347800,0,0.0,0.0,0
29,0.313,1.8374,0.3872,0.026189,11347800,11347800,0,0.0,0.0,0
30,0.308,1.8724,0.3821,0.02894,11347800,11347800,0,0.0,0.0,0
31,0.3154,1.8804,0.3888,0.029803,11347800,11347800,0,0.0,0.0,0
32,0.3172,1.8394,0.3986,0.027541,11347800,11347800,0,0.0,0.0,0
33,0.3306,1.8263,0.4065,0.026265,11347800,11347800,0,0.0,0.0,0
34,0.3334,1.826,0.4062,0.023092,11347800,11347800,0,0.0,0.0,0
35,0.3254,1.8279,0.4037,0.026621,11347800,11347800,0,0.0,0.0,0
36,0.3364,1.7811,0.4081,0.02365,11347800,11347800,0,0.0,0.0,0
37,0.3404,1.7821,0.4156,0.023727,11347800,11347800,0,0.0,0.0,0
38,0.3326,1.8387,0.4097,0.02584,11347800,11347800,0,0.0,0.0,0
39,0.3398,1.7918,0.413,0.024642,11347800,11347800,0,0.0,0.0,0
40,0.3296,1.8164,0.408,0.02836,11347800,11347800,0,0.0,0.0,0
41,0.3424,1.8029,0.4155,0.025438,11347800,11347800,0,0.0,0.0,0
42,0.3526,1.7637,0.4243,0.023777,11347800,11347800,0,0.0,0.0,0
43,0.3658,1.7307,0.4356,0.01362,11347800,11347800,0,0.0,0.0,0
44,0.361,1.7298,0.4354,0.019609,11347800,11347800,0,0.0,0.0,0
45,0.3412,1.819,0.4132,0.030414,11347800,11347800,0,0.0,0.0,0
46,0.3426,1.7963,0.4141,0.030082,11347800,11347800,0,0.0,0.0,0
47,0.3552,1.7451,0.4345,0.024128,11347800,11347800,0,0.0,0.0,0
48,0.3646,1.7356,0.4366,0.022728,11347800,11347800,0,0.0,0.0,0
49,0.3602,1.7414,0.435,0.023081,11347800,11347800,0,0.0,0.0,0
50,0.3486,1.7682,0.4322,0.025699,11347800,11347800,0,0.0,0.0,0
51,0.3608,1.7416,0.428,0.025835,11347800,11347800,0,0.0,0.0,0
52,0.3598,1.7442,0.4383,0.024635,11347800,11347800,0,0.0,0.0,0
53,0.3638,1.7318,0.4374,0.025815,11347800,11347800,0,0.0,0.0,0
54,0.367,1.7208,0.4427,0.023566,11347800,11347800,0,0.0,0.0,0
55,0.3738,1.7049,0.4527,0.016302,11347800,11347800,0,0.0,0.0,0
56,0.362,1.7359,0.4376,0.024268,11347800,11347800,0,0.0,0.0,0
57,0.3754,1.7018,0.4535,0.021257,11347800,11347800,0,0.0,0.0,0
58,0.3742,1.6968,0.4554,0.020283,11347800,11347800,0,0.0,0.0,0
59,0.3814,1.6943,0.4586,0.019844,11347800,11347800,0,0.0,0.0,0
60,0.3888,1.6586,0.4708,0.017918,11347800,11347800,0,0.0,0.0,0
